"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
5,,"Adrian Drive","P6A 4W8","SSM",46.51535987,-84.26081373,710119.5999999996,5154955.710000001
6,,"Adrian Drive","P6A 4W9","SSM",46.51572791,-84.26046565,710144.8800000008,5154997.529999999
9,,"Adrian Drive","P6A 4W8","SSM",46.51544914,-84.26097116,710107.1799999997,5154965.210000001
10,,"Adrian Drive","P6A 4W9","SSM",46.51580926,-84.26063052,710131.9199999999,5155006.130000001
13,,"Adrian Drive","P6A 4W8","SSM",46.51553519,-84.26112536,710095.0199999996,5154974.359999999
14,,"Adrian Drive","P6A 4W9","SSM",46.5159031,-84.26080558,710118.1300000008,5155016.09
17,,"Adrian Drive","P6A 4W8","SSM",46.51560203,-84.26131938,710079.8800000008,5154981.27
18,,"Adrian Drive","P6A 4W9","SSM",46.51599105,-84.2609417,710107.3499999996,5155025.5
21,,"Adrian Drive","P6A 4W8","SSM",46.51568821,-84.26147553,710067.5700000003,5154990.43
22,,"Adrian Drive","P6A 4W9","SSM",46.51603189,-84.26111747,710093.7100000009,5155029.57
25,,"Adrian Drive","P6A 4W8","SSM",46.5157383,-84.26163167,710055.4000000004,5154995.58
26,,"Adrian Drive","P6A 4W9","SSM",46.516129,-84.2612865,710080.3699999992,5155039.91
29,,"Adrian Drive","P6A 4W8","SSM",46.51582794,-84.26180447,710044.0199999996,5155004.92
30,,"Adrian Drive","P6A 4W9","SSM",46.51621982,-84.26145584,710067.0299999993,5155049.550000001
33,,"Adrian Drive","P6A 4W8","SSM",46.51591051,-84.26194125,710030.9900000002,5155013.890000001
34,,"Adrian Drive","P6A 4W9","SSM",46.51628996,-84.26161111,710054.8499999996,5155056.93
37,,"Adrian Drive","P6A 4W8","SSM",46.51600923,-84.26210629,710017.9499999993,5155024.42
39,,"Adrian Drive","P6A 4W8","SSM",46.51604464,-84.26216044,710013.6600000001,5155028.210000001
41,,"Adrian Drive","P6A 4W8","SSM",46.51609497,-84.26230027,710002.7400000002,5155033.43
43,,"Adrian Drive","P6A 4W8","SSM",46.51613783,-84.26236852,709997.3399999999,5155038.01
45,,"Adrian Drive","P6A 4W8","SSM",46.51621366,-84.26253979,709983.9100000001,5155045.98
47,,"Adrian Drive","P6A 4W8","SSM",46.51625896,-84.26258993,709979.8900000006,5155050.880000001
49,,"Adrian Drive","P6A 4W8","SSM",46.51640158,-84.26264117,709975.4100000001,5155066.59
51,,"Adrian Drive","P6A 4W8","SSM",46.5164521,-84.2626312,709975.9800000004,5155072.23
