"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
11,,"Adeline Avenue","P6B 5M3","SSM",46.52380122,-84.27122941,709288.2200000007,5155865.949999999
15,,"Adeline Avenue","P6B 5M3","SSM",46.5240952,-84.27126149,709284.6300000008,5155898.529999999
16,,"Adeline Avenue","P6B 5M4","SSM",46.52432818,-84.27055132,709338.1999999993,5155926.300000001
19,,"Adeline Avenue","P6B 5M3","SSM",46.52428959,-84.27124967,709284.7899999991,5155920.16
20,,"Adeline Avenue","P6B 5M4","SSM",46.52456342,-84.27065597,709329.2699999996,5155952.16
23,,"Adeline Avenue","P6B 5M3","SSM",46.52452776,-84.2712393,709284.6699999999,5155946.65
27,,"Adeline Avenue","P6B 5M3","SSM",46.52475329,-84.2712014,709286.7100000009,5155971.8100000005
30,,"Adeline Avenue","P6B 5M4","SSM",46.52476189,-84.2706455,709329.3100000005,5155974.24
34,,"Adeline Avenue","P6B 5M4","SSM",46.52490656,-84.27068467,709325.75,5155990.210000001
50,,"Adeline Avenue","P6B 5M5","SSM",46.52548617,-84.27062472,709328.1199999992,5156054.77
53,,"Adeline Avenue","P6B 5M6","SSM",46.52564835,-84.27138604,709269.1099999994,5156070.77
54,,"Adeline Avenue","P6B 5M5","SSM",46.52559308,-84.27069616,709322.2300000004,5156066.460000001
58,,"Adeline Avenue","P6B 5M5","SSM",46.52576169,-84.27062225,709327.25,5156085.390000001
59,,"Adeline Avenue","P6B 5M6","SSM",46.52581516,-84.27122942,709280.4800000004,5156089.720000001
62,,"Adeline Avenue","P6B 5M5","SSM",46.52590767,-84.27061089,709327.5600000005,5156101.640000001
69,,"Adeline Avenue","P6B 5M6","SSM",46.5259952,-84.27134062,709271.2599999998,5156109.43
73,,"Adeline Avenue","P6B 5M6","SSM",46.52612501,-84.27155657,709254.1999999993,5156123.279999999
74,,"Adeline Avenue","P6B 5M7","SSM",46.52632934,-84.27100741,709295.5299999993,5156147.4399999995
80,,"Adeline Avenue","P6B 5M7","SSM",46.52646244,-84.27125566,709275.9800000004,5156161.57
88,,"Adeline Avenue","P6B 5M7","SSM",46.52662521,-84.27164221,709245.7100000009,5156178.630000001
9,,"Albion Street","P6B 5C9","SSM",46.52224942,-84.31118885,706229.4499999993,5155588.3100000005
9,"A","Albion Street","P6B 5C9","SSM",46.52225013,-84.31157906,706199.5199999996,5155587.369999999
11,"A","Albion Street","P6B 5C9","SSM",46.5223008,-84.31157499,706199.6400000006,5155593.01
11,,"Albion Street","P6B 5C9","SSM",46.52230304,-84.31118451,706229.5800000001,5155594.279999999
13,"A","Albion Street","P6B 5C9","SSM",46.52235144,-84.31157758,706199.25,5155598.630000001
13,,"Albion Street","P6B 5C9","SSM",46.52235197,-84.31118314,706229.5,5155599.720000001
15,,"Albion Street","P6B 5C9","SSM",46.522401,-84.31117068,706230.2699999996,5155605.199999999
15,"A","Albion Street","P6B 5C9","SSM",46.52240292,-84.3115929,706197.8800000008,5155604.3100000005
17,"A","Albion Street","P6B 5C9","SSM",46.52245041,-84.31159551,706197.5,5155609.58
17,,"Albion Street","P6B 5C9","SSM",46.52244549,-84.31116835,706230.2799999993,5155610.15
19,"A","Albion Street","P6B 5C9","SSM",46.52249596,-84.31159574,706197.3100000005,5155614.640000001
19,,"Albion Street","P6B 5C9","SSM",46.52249324,-84.31115882,706230.8300000001,5155615.48
20,,"Albion Street","P6B 6A3","SSM",46.52243113,-84.31032064,706295.3499999996,5155610.77
21,"A","Albion Street","P6B 5C9","SSM",46.52254922,-84.31160263,706196.5800000001,5155620.539999999
21,,"Albion Street","P6B 5C9","SSM",46.52253732,-84.31115391,706231.0399999991,5155620.390000001
23,"A","Albion Street","P6B 5C9","SSM",46.5225913,-84.3115969,706196.8599999994,5155625.23
23,,"Albion Street","P6B 5C9","SSM",46.52258357,-84.31114993,706231.1699999999,5155625.539999999
27,"A","Albion Street","P6B 5C9","SSM",46.52286091,-84.31160341,706192.8800000008,5155656.279999999
27,,"Albion Street","P6B 5C9","SSM",46.52286372,-84.31100363,706238.6400000006,5155658
29,"A","Albion Street","P6B 5C9","SSM",46.52290124,-84.31160012,706192.9800000004,5155660.77
29,,"Albion Street","P6B 5C9","SSM",46.52291175,-84.31100595,706238.2799999993,5155663.33
31,"A","Albion Street","P6B 5C9","SSM",46.52294873,-84.31159894,706192.8900000006,5155666.050000001
31,,"Albion Street","P6B 5C9","SSM",46.52296362,-84.31098461,706239.2300000004,5155668.199999999
33,"A","Albion Street","P6B 5C9","SSM",46.52299379,-84.31160115,706192.5500000007,5155671.050000001
33,,"Albion Street","P6B 5C9","SSM",46.5229995,-84.31097919,706239.5099999998,5155672.199999999
35,"A","Albion Street","P6B 5C9","SSM",46.52304219,-84.31159277,706193.0099999998,5155677.4
35,,"Albion Street","P6B 5C9","SSM",46.52304265,-84.3109811,706239.1999999993,5155676.99
37,"A","Albion Street","P6B 5C9","SSM",46.5230758,-84.31158693,706193.3300000001,5155681.15
37,,"Albion Street","P6B 5C9","SSM",46.52308194,-84.31098294,706238.9100000001,5155681.35
39,"A","Albion Street","P6B 5C9","SSM",46.52311581,-84.31158509,706193.3200000003,5155685.6
39,,"Albion Street","P6B 5C9","SSM",46.52312169,-84.31096677,706240.8800000008,5155686.52
41,"A","Albion Street","P6B 5C9","SSM",46.52315108,-84.31158087,706193.5099999998,5155689.529999999
41,,"Albion Street","P6B 5C9","SSM",46.52317494,-84.31096909,706240.5,5155692.43
43,"A","Albion Street","P6B 5C9","SSM",46.52319639,-84.31157864,706193.5099999998,5155694.57
124,,"Albion Street","P6B 5E1","SSM",46.52611372,-84.31038012,706276.8399999999,5156019.789999999
127,,"Albion Street","P6B 5E2","SSM",46.52611234,-84.31097934,706230.8900000006,5156018.07
130,,"Albion Street","P6B 5E1","SSM",46.52629415,-84.31035999,706277.6999999993,5156039.890000001
131,,"Albion Street","P6B 5E2","SSM",46.52624642,-84.31095147,706232.6300000008,5156035.470000001
135,,"Albion Street","P6B 5E2","SSM",46.52647925,-84.31094375,706232.2300000004,5156058.93
136,,"Albion Street","P6B 5E1","SSM",46.52645712,-84.31037072,706276.2599999998,5156057.970000001
140,,"Albion Street","P6B 5E1","SSM",46.52662332,-84.31038468,706274.5600000005,5156076.4
141,,"Albion Street","P6B 5E2","SSM",46.52666591,-84.31095149,706230.9299999997,5156079.65
144,,"Albion Street","P6B 5E1","SSM",46.52682649,-84.3103367,706277.4700000007,5156099.1
145,,"Albion Street","P6B 5E2","SSM",46.52686545,-84.3109711,706228.6699999999,5156101.77
150,,"Albion Street","P6B 5E1","SSM",46.52702482,-84.31032742,706277.4299999997,5156121.16
153,,"Albion Street","P6B 5E2","SSM",46.52705123,-84.31096049,706228.7799999993,5156122.4399999995
156,,"Albion Street","P6B 5E1","SSM",46.52719058,-84.31038417,706272.4499999993,5156139.43
157,,"Albion Street","P6B 5E2","SSM",46.52720205,-84.3109786,706226.8200000003,5156139.15
