"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
626,"213","Airport Road","P6A 5K6","SSM",46.50126641,-84.4829493,693130.3900000006,5152822.289999999
626,"211","Airport Road","P6A 5K6","SSM",46.50131762,-84.48335774,693098.8699999992,5152826.98
626,"209","Airport Road","P6A 5K6","SSM",46.50125498,-84.48374642,693069.2699999996,5152819.07
626,"207","Airport Road","P6A 5K6","SSM",46.50127238,-84.48410729,693041.5199999996,5152820.119999999
626,"205","Airport Road","P6A 5K6","SSM",46.50131042,-84.48441665,693017.6500000004,5152823.59
626,"203","Airport Road","P6A 5K6","SSM",46.50132861,-84.4848837,692981.75,5152824.470000001
626,"217","Airport Road","P6A 5K6","SSM",46.50124936,-84.48243631,693169.8100000005,5152821.65
626,"219","Airport Road","P6A 5K6","SSM",46.50158267,-84.48218475,693187.9299999997,5152859.300000001
626,"220","Airport Road","P6A 5K6","SSM",46.50170736,-84.482399,693171.0500000007,5152872.630000001
626,"218","Airport Road","P6A 5K6","SSM",46.50144889,-84.48199517,693202.9499999993,5152844.9
626,"221","Airport Road","P6A 5K6","SSM",46.50178456,-84.4826024,693155.1699999999,5152880.710000001
626,"222","Airport Road","P6A 5K6","SSM",46.50181624,-84.48283971,693136.8499999996,5152883.65
626,"223","Airport Road","P6A 5K6","SSM",46.50180789,-84.48306558,693119.5500000007,5152882.17
626,"206","Airport Road","P6A 5K6","SSM",46.50097049,-84.48442112,693018.5099999998,5152785.8100000005
626,"210","Airport Road","P6A 5K6","SSM",46.50095014,-84.48381537,693065.0600000005,5152785.029999999
626,"214","Airport Road","P6A 5K6","SSM",46.50096306,-84.48333123,693102.1600000001,5152787.65
650,,"Airport Road","P6A 5K6","SSM",46.50207457,-84.48495511,692973.6300000008,5152907.18
668,"R","Airport Road","P6A 5K6","SSM",46.50408468,-84.47318336,693869.6699999999,5153159.369999999
719,,"Airport Road","P6A 5K6","SSM",46.50304986,-84.48825236,692717.1999999993,5153007.49
720,,"Airport Road","P6A 5K6","SSM",46.5027602,-84.48571632,692912.8000000007,5152981.5
750,,"Airport Road","P6A 5K6","SSM",46.50479725,-84.48499592,692960.8599999994,5153209.6
755,,"Airport Road","P6A 5K6","SSM",46.50425411,-84.48711621,692800.1099999994,5153144.07
763,,"Airport Road","P6A 5K6","SSM",46.50511263,-84.48765704,692755.5800000001,5153238.140000001
764,,"Airport Road","P6A 5K6","SSM",46.50566092,-84.48544342,692923.4700000007,5153304.470000001
766,,"Airport Road","P6A 5K6","SSM",46.50596543,-84.48544918,692921.9499999993,5153338.289999999
768,,"Airport Road","P6A 5K6","SSM",46.50648709,-84.4850041,692954.25,5153397.34
770,,"Airport Road","P6A 5K6","SSM",46.50766491,-84.47840206,693456.5700000003,5153544.369999999
779,,"Airport Road","P6A 5K6","SSM",46.505741,-84.49205847,692415.6799999997,5153297.220000001
784,,"Airport Road","P6A 5K6","SSM",46.50693872,-84.48462845,692981.4700000007,5153448.4399999995
791,,"Airport Road","P6A 5K6","SSM",46.50627706,-84.48721545,692785.3399999999,5153368.6
797,,"Airport Road","P6A 5K6","SSM",46.50661877,-84.48726357,692780.4399999995,5153406.449999999
800,,"Airport Road","P6A 5K6","SSM",46.50784819,-84.48446994,692990.4100000001,5153549.880000001
803,,"Airport Road","P6A 5K6","SSM",46.50700109,-84.48757467,692755.2200000007,5153448.17
811,,"Airport Road","P6A 5K6","SSM",46.50760845,-84.48753559,692756.0700000003,5153515.75
819,,"Airport Road","P6A 5K6","SSM",46.50864002,-84.48751919,692753.6799999997,5153630.41
820,,"Airport Road","P6A 5K6","SSM",46.50839748,-84.48586149,692881.7100000009,5153607.51
856,,"Airport Road","P6A 5K6","SSM",46.509005,-84.48607148,692863.4499999993,5153674.5
880,,"Airport Road","P6A 5K6","SSM",46.50971606,-84.48555429,692900.6099999994,5153754.77
891,,"Airport Road","P6A 5K6","SSM",46.5098014,-84.48724586,692770.5399999991,5153760.119999999
901,,"Airport Road","P6A 5K6","SSM",46.51077858,-84.4879278,692713.8200000003,5153870.84
904,,"Airport Road","P6A 5K6","SSM",46.51037431,-84.48498111,692942.25,5153829.3100000005
921,,"Airport Road","P6A 5K6","SSM",46.51179315,-84.48766984,692730.9700000007,5153980.390000001
928,,"Airport Road","P6A 5K6","SSM",46.5108589,-84.48483947,692951.4000000004,5153883.5
941,,"Airport Road","P6A 5K6","SSM",46.51250528,-84.48760689,692733.2799999993,5154059.67
953,,"Airport Road","P6A 5K6","SSM",46.51282616,-84.48766562,692727.6400000006,5154095.18
960,,"Airport Road","P6A 5K6","SSM",46.51124363,-84.48589403,692868.5,5153923.83
1130,,"Airport Road","P6A 5K6","SSM",46.51434706,-84.48456307,692960.25,5154271.75
1180,,"Airport Road","P6A 5K6","SSM",46.51717352,-84.4854144,692884.9399999995,5154583.720000001
1189,,"Airport Road","P6A 5K6","SSM",46.51753282,-84.48745378,692727.5600000005,5154617.18
1191,,"Airport Road","P6A 5K6","SSM",46.51804512,-84.4876557,692709.9399999995,5154675.09
1217,,"Airport Road","P6A 5K6","SSM",46.51835726,-84.48722241,692742.0700000003,5154710.83
1229,,"Airport Road","P6A 5K6","SSM",46.51886914,-84.48747846,692720.6199999992,5154767.08
1241,,"Airport Road","P6A 5K6","SSM",46.51930932,-84.48713834,692746.3399999999,5154804.779999999
1253,,"Airport Road","P6A 5K6","SSM",46.52001358,-84.48715552,692741.3399999999,5154895.029999999
0,,"Alagash Drive","P6A 5K6","SSM",46.4712852,-84.47425066,693904.3699999992,5149512.369999999
17,,"Alagash Drive","P6A 5K6","SSM",46.4666843,-84.47763821,693660.6400000006,5148992.85
26,,"Alagash Drive","P6A 5K6","SSM",46.46650545,-84.47703808,693707.3499999996,5148974.449999999
27,,"Alagash Drive","P6A 5K6","SSM",46.46689598,-84.47745076,693674.2799999993,5149016.83
32,,"Alagash Drive","P6A 5K6","SSM",46.46674294,-84.47695559,693712.8399999999,5149001.039999999
35,,"Alagash Drive","P6A 5K6","SSM",46.46710431,-84.47731088,693684.2799999993,5149040.32
36,,"Alagash Drive","P6A 5K6","SSM",46.46687893,-84.47686555,693719.2699999996,5149016.369999999
40,,"Alagash Drive","P6A 5K6","SSM",46.46708415,-84.47668322,693732.5399999991,5149039.619999999
43,,"Alagash Drive","P6A 5K6","SSM",46.46765186,-84.47752263,693666.0800000001,5149100.640000001
44,,"Alagash Drive","P6A 5K6","SSM",46.46724929,-84.47641365,693752.6500000004,5149058.630000001
48,,"Alagash Drive","P6A 5K6","SSM",46.46741545,-84.47614116,693772.9800000004,5149077.76
51,,"Alagash Drive","P6A 5K6","SSM",46.46775401,-84.47710644,693695.0600000005,5149107.0600000005
52,,"Alagash Drive","P6A 5K6","SSM",46.46755462,-84.47604472,693779.8900000006,5149093.460000001
