"LABEL","STOPNUMBER","SHELTERTYPE","SERVICEDAYS","TRANSFERPOINT","BENCH","GARBAGECAN","SHELTER","LATITUDE","LONGITUDE","geometry.x","geometry.y"
"Civic # 165",,,"Daily","No","No","NO","No",46.51949509,-84.34471317,703668.5600000005,5155195.199999999
"Civic # 472",,,"Daily","No","No","NO","No",46.52821185,-84.34270562,703789.9199999999,5156168.91
"Civic # 520",,,"Daily","No","No","NO","No",46.52950043,-84.34241323,703807.5199999996,5156312.84
"Civic # 549",,,"Daily","No","No","NO","No",46.53032825,-84.34238247,703806.7799999993,5156404.9
"Across from Civic # 145",,,"Daily","No","No","NO","No",46.531773,-84.34264084,703781.5600000005,5156564.76
"Civic # 145",,,"Daily","No","No","NO","No",46.5316744,-84.34276236,703772.6099999994,5156553.49
"Beside Civic # 594",,,"Daily","No","No","NO","No",46.53197347,-84.34553223,703559.0899999999,5156579.57
"Civic # 54",,,"Daily","No","No","NO","No",46.53397435,-84.3533841,702949.5299999993,5156781.66
"Civic # 139",,,"Daily","No","No","NO","No",46.53374292,-84.35747098,702637.0099999998,5156745.4399999995
"Civic # 166",,,"Daily","No","No","NO","No",46.53383491,-84.3591148,702510.6199999992,5156751.4399999995
"Civic # 439",,,"Daily","No","No","NO","No",46.53145637,-84.36757709,701870.5500000007,5156465.470000001
"Civic # 490",,,"Daily","No","No","NO","No",46.53152253,-84.36965374,701711.0600000005,5156467.51
"Across from Civic # 161",,,"Daily","No","No","NO","No",46.53137463,-84.38960116,700181.9700000007,5156400.27
"Civic # 906",,,"Daily","No","No","NO","No",46.52954357,-84.39086986,700091.4100000001,5156193.6
,,,"Daily","No","No","NO","No",46.53159195,-84.40544387,698966.3000000007,5156384.34
,,,"Daily","No","No","NO","No",46.53626862,-84.40849955,698714.9100000001,5156896.27
"B.S.",,"Old Shelter","Daily","No","Yes","NO","Yes",46.52070318,-84.35597327,702800.4100000001,5155300.43
"Lou's Automotive",,,"Daily","No","No","YES","No",46.51423913,-84.33414044,704499.2200000007,5154638.550000001
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50935057,-84.29886034,707224.0600000005,5154187.41
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50950732,-84.29645301,707408.1400000006,5154211.15
"Civic # 1572",,,"Daily","No","No","NO","No",46.50953703,-84.29101394,707825.2799999993,5154228.76
"Emmaus Anglican Church",,,"Daily","No","No","NO","No",46.50939436,-84.28635762,708183.0299999993,5154225.18
"B.S.",,"Old Shelter","Daily","No","Yes","YES","Yes",46.50959372,-84.28398997,708363.9000000004,5154253.58
"Civic # 48",,,"Daily","No","No","NO","No",46.51005133,-84.28058143,708623.6300000008,5154313.43
"Across from Par Ave.",,,"Daily","No","No","NO","No",46.51017085,-84.27352804,709164.2599999998,5154345.380000001
"Civic # 424",,,"Daily","No","No","NO","No",46.51509036,-84.27073679,709359.4800000004,5154899.390000001
,,,"Daily","No","No","NO","No",46.5251766,-84.27599112,708917.75,5156006.15
,,,"Daily","No","No","NO","No",46.52970064,-84.27549199,708938.6699999999,5156510.140000001
"B.S.",,"New Dome Shelter","Daily","Yes","Yes","YES","Yes",46.52627284,-84.26227681,709965.3000000007,5156164.359999999
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.52363456,-84.25685608,710391.2100000009,5155885.66
"Civic # 364",,,"Daily","No","No","NO","No",46.52017548,-84.26018445,710149.2899999991,5155492.449999999
"B.S.",,"Old Shelter","Daily","No","No","YES","Yes",46.51894167,-84.26145433,710056.6500000004,5155351.98
"Civic # 278",,,"Daily","No","No","NO","No",46.51756793,-84.26283417,709956.1099999994,5155195.67
"Civic # 220",,,"Daily","No","No","YES","No",46.51595484,-84.26447302,709836.6199999992,5155012.08
"Civic # 114",,,"Daily","No","No","NO","No",46.51294221,-84.26753438,709613.3900000006,5154669.210000001
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50550125,-84.31738331,705817.6199999992,5153711.24
"B.S.",,"Casino Shelter","Daily","No","Yes","YES","Yes",46.51790253,-84.34256714,703839.1199999992,5155023.789999999
,,,"Daily","No","No","NO","No",46.54865672,-84.31824174,705588.7699999996,5158504.039999999
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.51336746,-84.33804001,704203.3599999994,5154531.6
,,,"Daily","No","No","NO","No",46.52953393,-84.2705187,709320.6899999995,5156504.800000001
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50945931,-84.31595035,705912.5999999996,5154154.76
"Civic # 571",,,"Daily","No","No","NO","No",46.51548168,-84.29483758,707509.3100000005,5154879.210000001
"Across from B.S.",,,"Daily","No","No","NO","No",46.53121421,-84.38075456,700860.9499999993,5156404.93
"Civic # 4",,,"Daily","No","No","NO","No",46.51074593,-84.30684671,706606.0999999996,5154321.51
"Bruce St. Storage",,,"Daily","No","No","NO","No",46.51565874,-84.33237109,704629.6099999994,5154800.869999999
"Across from Civic # 1469-A",,,"Daily","No","No","NO","No",46.50074322,-84.29022318,707919.4900000002,5153253.76
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.50766006,-84.25927543,710267.3100000005,5154104.279999999
,,,"Daily","No","No","NO","No",46.52480818,-84.2451473,711284.6500000004,5156047.35
,,,"Daily","No","No","NO","No",46.52189519,-84.24158236,711569.3699999992,5155733.24
,,,"Daily","No","No","NO","No",46.52065836,-84.24378925,711404.9100000001,5155589.9
"Across from Civic # 397",,,"Daily","Yes","No","NO","No",46.52636597,-84.26210666,709977.9900000002,5156175.16
,,,"Daily","No","No","NO","No",46.52505178,-84.25938013,710192.1600000001,5156036.4
"John Street Park",,,"Daily","No","No","NO","No",46.52126019,-84.34421394,703700.25,5155392.609999999
,,,"Daily","No","No","NO","No",46.54324532,-84.38767325,700286.1300000008,5157724.130000001
