"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
134,"Gore Street","P6A 1M1","SSM",46.51847446,-84.34010161
793,"Allen's Side Road","P6A 5K8","SSM",46.5503793,-84.40381841
60,"Maki Road","P6A 5K8","SSM",46.55270318,-84.41375663
465,"Allen's Side Road","P6A 5K8","SSM",46.53882032,-84.4037925
1034,"Carpin Beach Road","P6A 5K8","SSM",46.5404151,-84.44478598
17,"Broos Road","P6C 5S2","SSM",46.53681283,-84.4158178
456,"Royce Avenue","P6C 5R4","SSM",46.52952725,-84.40587569
5,"Palomino Drive","P6A 0B1","SSM",46.54443559,-84.40412179
991,"Fourth Line West","P6A 5K8","SSM",46.56509782,-84.40079997
132,"Palomino Drive","P6A 0B2","SSM",46.54816175,-84.41202035
117,"Allen's Side Road","P6C 5P4","SSM",46.52600794,-84.4026951
68,"Creek Road","P6A 5K8","SSM",46.55201534,-84.45649074
132,"Gore Street","P6A 1M1","SSM",46.51844224,-84.34032574
70,"Foothill Road","P6C 0E4","SSM",46.56511421,-84.38677379
1068,"Base Line","P6A 5K6","SSM",46.52157334,-84.43476995
92,"Palomino Drive","P6A 0B2","SSM",46.54533359,-84.41047009
59,"Simon Avenue","P6A 6T2","SSM",46.50613546,-84.26447915
60,"Ransome Drive","P6C 1N4","SSM",46.53068067,-84.4056486
535,"Allen's Side Road","P6A 5K8","SSM",46.54054144,-84.40345412
1243,"Town Line Road","P6A 6K4","Prince",46.5460676,-84.46757237
638,"Leigh's Bay Road","P6A 5K6","SSM",46.52670614,-84.42342207
105,"Palomino Drive","P6A 0B2","SSM",46.54624155,-84.41180305
1599,"Base Line","P6A 5K6","SSM",46.52017569,-84.45941545
4,"Palomino Drive","P6A 0B1","SSM",46.54527315,-84.40386517
101,"Ransome Drive","P6C 1N5","SSM",46.53023225,-84.40861108
98,"Maki Road","P6A 5K8","SSM",46.55401094,-84.41362428
10,"King Street","P6A 2T1","SSM",46.51384228,-84.33466332
24,"Appaloosa Avenue","P6A 0B1","SSM",46.54607368,-84.40719511
171,"Maki Road","P6A 5K8","SSM",46.55683937,-84.4152562
3,"Oriole Street","P6C 6E5","SSM",46.56375374,-84.3903694
54,"Ransome Drive","P6C 1N4","SSM",46.53067554,-84.40536339
36,"Ransome Drive","P6C 1N2","SSM",46.53074194,-84.40456932
703,"Town Line Road","P6A 6K4","Prince",46.52496332,-84.46708855
1040,"Allen's Side Road","P6A 5K8","SSM",46.55631628,-84.40325067
1109,"Allen's Side Road","P6A 5K8","SSM",46.56145474,-84.40739516
43,"Industrial Park Crescent","P6B 5P3","SSM",46.5409389,-84.32141428
73,"Simon Avenue","P6A 6T2","SSM",46.50639746,-84.26389665
1045,"Carpin Beach Road","P6A 5K8","SSM",46.53919267,-84.44610066
80,"Simon Avenue","P6A 6T2","SSM",46.50697118,-84.26406036
102,"Albert Street East","P6A 2J1","SSM",46.51754735,-84.33783928
1705,"Old Garden River Road","P6A 6J8","Rankin",46.56166271,-84.25447344
147,"Palomino Drive","P6A 0B2","SSM",46.5490438,-84.41331106
723,"Fourth Line West","P6A 0B5","SSM",46.56558657,-84.38747283
998,"Frontenac Street","P6A 0C1","SSM",46.5421992,-84.23004444
63,"Palomino Drive","P6A 0B1","SSM",46.54378309,-84.41014082
130,"Hood Street","P6C 6E5","SSM",46.56120309,-84.3923584
498,"Maki Road","P6A 5K8","SSM",46.56687294,-84.41646175
68,"Mount Pleasant Court","P6A 5K8","SSM",46.56633777,-84.42144305
1214,"Wallace Terrace","P6C 5R5","SSM",46.52939556,-84.4082357
978,"Frontenac Street","P6A 0C1","SSM",46.54202314,-84.23045578
1281,"Second Line West","P6C 2M1","SSM",46.535754,-84.41466419
1144,"Wallace Terrace","P6C 1M7","SSM",46.52934653,-84.40336247
964,"Goulais Avenue","P6A 5K8","SSM",46.55675093,-84.38217661
2122,"Queen Street East","P6A 5T7","SSM",46.50335275,-84.26379965
2,"Ransome Drive","P6C 1N2","SSM",46.53074082,-84.40297883
30,"Appaloosa Avenue","P6A 0B3","SSM",46.54658314,-84.40699943
6,"King Street","P6A 2T1","SSM",46.51386788,-84.33481186
99,"Ransome Drive","P6C 1N5","SSM",46.53023239,-84.4082479
39,"Foothill Road","P6C 0E5","SSM",46.56451742,-84.385156
715,"Fourth Line West","P6A 0B5","SSM",46.56566163,-84.3870908
639,"Black Road","P6A 0C8","SSM",46.54156733,-84.29184426
844,"Queen Street East","P6A 2B2","SSM",46.5065326,-84.32386957
780,"Third Line West","P6A 5K8","SSM",46.55205867,-84.39085891
51,"Wiber Street","P6B 5L4","SSM",46.52679491,-84.27383596
1386,"Carpin Beach Road","P6A 5K8","SSM",46.54931651,-84.44564368
68,"Anderson Road","P6C 6B8","SSM",46.53803449,-84.41323523
1420,"Second Line West","P6A 5K8","SSM",46.53688976,-84.42165575
125,"Foothill Road","P6C 0E5","SSM",46.56441556,-84.38927967
124,"McQueen Road","P6C 6E3","SSM",46.56331078,-84.38934915
46,"McQueen Road","P6C 6E3","SSM",46.56336069,-84.38537002
1509,"Carpin Beach Road","P6A 5K8","SSM",46.55429663,-84.44748511
1675,"Third Line West","P6A 5K8","SSM",46.54983623,-84.43503091
166,"Foothill Road","P6C 0E4","SSM",46.56497003,-84.3914357
36,"Ruscio Crescent","P6A 6Y5","SSM",46.52698548,-84.24730317
1408,"Base Line","P6A 5K6","SSM",46.52141152,-84.45087073
1772,"Third Line West","P6A 5K8","SSM",46.55031092,-84.43962142
323,"Nixon Road","P6C 5R7","SSM",46.53155836,-84.41203386
1016,"Third Line West","P6A 5K8","SSM",46.55133648,-84.40217572
1487,"Leigh's Bay Road","P6A 5K8","SSM",46.55492753,-84.42619902
1616,"Base Line","P6A 5K6","SSM",46.52087442,-84.46098158
29,"Appaloosa Avenue","P6A 0B3","SSM",46.54642857,-84.40863315
30,"Foothill Road","P6C 0E4","SSM",46.56503949,-84.38475027
5,"Oriole Street","P6C 6E5","SSM",46.56413292,-84.39037
1287,"Second Line West","P6C 2M1","SSM",46.53578888,-84.41500083
932,"Fourth Line West","P6A 5K8","SSM",46.56594167,-84.39709003
1148,"Wallace Terrace","P6C 1M7","SSM",46.52935206,-84.40360592
279,"Nixon Road","P6C 5R7","SSM",46.529841,-84.41194726
38,"McQueen Road","P6C 6E3","SSM",46.56336186,-84.38511057
331,"Nixon Road","P6C 5R7","SSM",46.5318806,-84.41199572
740,"Allen's Side Road","P6A 5K8","SSM",46.54864182,-84.40299235
1049,"Allen's Side Road","P6A 5K8","SSM",46.55702884,-84.40411206
956,"Peoples Road","P6C 3V7","SSM",46.54444526,-84.35044892
435,"Case Road","P6A 6J8","SSM",46.5738181,-84.26932227
1547,"Second Line West","P6A 5K8","SSM",46.53552438,-84.42800046
1060,"Base Line","P6A 5K6","SSM",46.52148738,-84.43405168
171,"Queensgate Boulevard","P6A 6Y4","SSM",46.52862941,-84.25586599
57,"Queensgate Boulevard","P6A 6Y4","SSM",46.5261539,-84.24982023
1008,"Carpin Beach Road","P6A 5K8","SSM",46.53769264,-84.44486382
1495,"Leigh's Bay Road","P6A 5K8","SSM",46.55555536,-84.42647852
53,"Ransome Drive","P6C 1N3","SSM",46.53023444,-84.40532703
163,"Allen's Side Road","P6C 5P4","SSM",46.52752659,-84.4028094
117,"Foothill Road","P6C 0E5","SSM",46.56446246,-84.38892576
45,"Rex Avenue","P6C 5T5","SSM",46.5306672,-84.40775684
18,"Queensgate Boulevard","P6A 6Y6","SSM",46.52540356,-84.24713553
501,"Allen's Side Road","P6A 5K8","SSM",46.53937968,-84.40378095
30,"McQueen Road","P6C 6E3","SSM",46.56338863,-84.3845927
53,"Hood Street","P6C 6E5","SSM",46.56405344,-84.3937621
1356,"Second Line West","P6A 5K8","SSM",46.53648471,-84.41838383
430,"Nixon Road","P6C 5R9","SSM",46.53496858,-84.41137174
48,"Palomino Drive","P6A 0B1","SSM",46.54482444,-84.4085744
166,"Avery Road","P6A 5K8","SSM",46.55884771,-84.41280562
826,"Fourth Line West","P6A 5K8","SSM",46.56594153,-84.39407365
15,"Ellis Road","P6C 1N7","SSM",46.53134166,-84.405904
22,"Anich Road","P6A 0B5","SSM",46.57272524,-84.38911559
88,"Ransome Drive","P6C 1N4","SSM",46.53067431,-84.40747117
31,"Foothill Road","P6C 0E5","SSM",46.56460946,-84.38480853
38,"Queensgate Boulevard","P6A 6Y6","SSM",46.52597765,-84.24831604
118,"Foothill Road","P6C 0E4","SSM",46.56493334,-84.38898471
444,"Nixon Road","P6C 5R9","SSM",46.5357048,-84.41145607
1140,"Wallace Terrace","P6C 1M7","SSM",46.52935781,-84.40311821
1832,"Third Line West","P6A 5K8","SSM",46.55027906,-84.44221081
3988,"Third Line West","P6A 5K8","SSM",46.55009812,-84.46051645
1348,"Second Line West","P6A 5K8","SSM",46.53653492,-84.41790908
49,"Queensgate Boulevard","P6A 6Y6","SSM",46.52591944,-84.24931128
1151,"Allen's Side Road","P6A 5K8","SSM",46.5611478,-84.40443086
105,"Hood Street","P6C 6E5","SSM",46.56160706,-84.39551892
764,"Carpin Beach Road","P6A 5K6","SSM",46.5276392,-84.44278606
117,"Palomino Drive","P6A 0B2","SSM",46.54706127,-84.41190259
1147,"Wallace Terrace","P6C 1M8","SSM",46.52890271,-84.4035868
922,"Town Line Road","P6A 6K4","SSM",46.53409193,-84.46596919
89,"Queensgate Boulevard","P6A 6Y4","SSM",46.5266716,-84.25165091
2240,"Second Line West","P6A 5K6","SSM",46.53561944,-84.46064951
81,"Queensgate Boulevard","P6A 6Y4","SSM",46.52666902,-84.25086997
1074,"Second Line West","P6C 2L8","SSM",46.53689161,-84.4037722
924,"Fourth Line West","P6A 5K8","SSM",46.56612071,-84.3965856
892,"Goulais Avenue","P6A 5K8","SSM",46.55404682,-84.38220862
35,"Central Creek Drive","P6C 6H3","SSM",46.54760821,-84.37877891
104,"Palomino Drive","P6A 0B2","SSM",46.54628031,-84.41049822
268,"Maki Road","P6A 5K8","SSM",46.55993055,-84.41418829
73,"Creek Road","P6A 5K8","SSM",46.55183211,-84.45739331
691,"Fourth Line West","P6A 0B5","SSM",46.56566618,-84.38587274
1187,"Allen's Side Road","P6A 5K8","SSM",46.56326008,-84.40439856
962,"Peoples Road","P6C 3V7","SSM",46.54459377,-84.35041429
1135,"Second Line West","P6C 2L9","SSM",46.53592552,-84.40701401
104,"Albert Street East","P6A 2J1","SSM",46.51750565,-84.33796556
405,"Nixon Road","P6C 5R7","SSM",46.53447544,-84.41224874
1460,"Second Line West","P6A 5K8","SSM",46.53683021,-84.4232699
308,"Millcreek Drive","P6B 6H6","SSM",46.54376585,-84.30546301
140,"Palomino Drive","P6A 0B2","SSM",46.54878536,-84.41210405
75,"Palomino Drive","P6A 0B1","SSM",46.54400586,-84.41158015
104,"Albert Street East","P6A 2J1","SSM",46.517475,-84.33792469
180,"Rossmore Road","P6C 2Y8","SSM",46.5448379,-84.36509565
463,"Royce Avenue","P6C 5R5","SSM",46.52976604,-84.40643964
223,"Allen's Side Road","P6C 5P7","SSM",46.52961555,-84.40283221
1460,"Base Line","P6A 5K6","SSM",46.52126427,-84.45315982
1732,"Third Line West","P6A 5K8","SSM",46.55038196,-84.43890777
264,"Millcreek Drive","P6B 6L5","SSM",46.54266348,-84.30380448
810,"Second Line West","P6C 2L3","SSM",46.53708873,-84.39033452
87,"Avery Road","P6A 5K8","SSM",46.55780643,-84.40868965
658,"Maki Road","P6A 5K8","SSM",46.57460784,-84.42111335
56,"Mount Pleasant Court","P6A 5K8","SSM",46.56639352,-84.41926318
433,"Franklin Street","P6C 4B1","SSM",46.53498991,-84.359829
27,"McQueen Road","P6C 6E4","SSM",46.56294506,-84.38453157
1383,"Third Line West","P6A 5K8","SSM",46.55013274,-84.42042627
436,"Sherbourne Street","P6C 3X3","SSM",46.52816315,-84.35052904
431,"Franklin Street","P6C 4B1","SSM",46.53491202,-84.35982365
243,"St. Patrick Street","P6C 3S6","SSM",46.54401617,-84.34998015
312,"Millcreek Drive","P6B 6H6","SSM",46.54396429,-84.30528688
2000,"Second Line West","P6A 5K6","SSM",46.53577931,-84.45088535
728,"Third Line West","P6A 5K8","SSM",46.55162619,-84.38795303
1456,"Base Line","P6A 5K6","SSM",46.52125499,-84.45276376
19,"McQueen Road","P6C 6E4","SSM",46.56286957,-84.38383634
201,"Foothill Road","P6C 0E5","SSM",46.56417057,-84.39308097
93,"Ellis Road","P6C 1N9","SSM",46.53118552,-84.40996861
149,"Allen's Side Road","P6C 5P4","SSM",46.52708455,-84.40281926
1988,"Second Line West","P6A 5K6","SSM",46.53582801,-84.45053851
55,"Ellis Road","P6C 1N7","SSM",46.53128329,-84.40774667
6,"Sunset Court","P6C 6G4","SSM",46.53883174,-84.41565596
976,"Base Line","P6A 5K6","SSM",46.52159067,-84.42959569
57,"Palomino Drive","P6A 0B1","SSM",46.5439726,-84.40942836
817,"Queen Street East","P6A 2A8","SSM",46.50653596,-84.3248165
438,"Sherbourne Street","P6C 3X3","SSM",46.5282719,-84.35053823
29,"Ellis Road","P6C 1N7","SSM",46.53130914,-84.40652523
55,"Allen's Side Road","P6C 5P4","SSM",46.52451998,-84.40716345
1555,"Leigh's Bay Road","P6A 5K8","SSM",46.55947377,-84.43032372
1027,"Carpin Beach Road","P6A 5K8","SSM",46.54131852,-84.44622382
141,"Allen's Side Road","P6C 5P4","SSM",46.52687822,-84.40277343
162,"McQueen Road","P6C 6E3","SSM",46.5631981,-84.39114321
63,"Mount Pleasant Court","P6A 5K8","SSM",46.5655721,-84.42056764
321,"East Balfour Street","P6C 1X8","SSM",46.53319118,-84.376584
93,"Palomino Drive","P6A 0B3","SSM",46.54543155,-84.41162034
69,"Palomino Drive","P6A 0B1","SSM",46.54375607,-84.41076389
544,"Second Line West","P6C 2K6","SSM",46.53743509,-84.37720595
1377,"Fourth Line East","P6A 6J8","SSM",46.56679786,-84.28472745
27,"Rosita Street","P6C 5R2","SSM",46.53136724,-84.40540932
712,"Third Line West","P6A 5K8","SSM",46.55164848,-84.3874595
45,"Hood Street","P6C 6E5","SSM",46.56457242,-84.39385884
84,"Ransome Drive","P6C 1N4","SSM",46.53066787,-84.40718681
1242,"Allen's Side Road","P6A 5K8","SSM",46.56309152,-84.40333313
1691,"Second Line West","P6A 5K8","SSM",46.53529565,-84.43524122
990,"Goulais Avenue","P6A 5K8","SSM",46.55798087,-84.38203926
841,"Leigh's Bay Road","P6A 5K6","SSM",46.53391892,-84.42607513
536,"Second Line West","P6C 2K6","SSM",46.53738784,-84.37691152
104,"Albert Street East","P6A 2J1","SSM",46.5174651,-84.33802908
1152,"Allen's Side Road","P6A 5K8","SSM",46.56077454,-84.40338333
21,"Ellis Road","P6C 1N7","SSM",46.53133152,-84.40626636
54,"Appaloosa Avenue","P6A 0B3","SSM",46.54706341,-84.40990318
41,"Yates Avenue","P6C 1G1","SSM",46.52615741,-84.40020398
750,"Allen's Side Road","P6A 5K8","SSM",46.54958919,-84.40306141
607,"Leigh's Bay Road","P6A 5K6","SSM",46.52549294,-84.42433615
84,"Laura Street","P6C 2G4","SSM",46.53686097,-84.35492604
292,"Maki Road","P6A 5K8","SSM",46.56088544,-84.41431539
154,"McQueen Road","P6C 6E3","SSM",46.563229,-84.39075798
427,"Franklin Street","P6C 4B1","SSM",46.53483405,-84.35983004
353,"Nixon Road","P6C 5R7","SSM",46.53260896,-84.41215854
86,"Laura Street","P6C 2G4","SSM",46.5368587,-84.35504953
915,"Third Line West","P6A 5K8","SSM",46.55086361,-84.39661648
104,"Albert Street East","P6A 2J1","SSM",46.517434539999996,-84.3379882
50,"Anderson Road","P6C 6B8","SSM",46.53765198,-84.41321089
1201,"Goulais Avenue","P6A 5K8","SSM",46.56370431,-84.38356483
766,"Carpin Beach Road","P6A 5K6","SSM",46.52789244,-84.44468058
1029,"Allen's Side Road","P6A 5K8","SSM",46.5561788,-84.40509145
87,"Ellis Road","P6C 1N9","SSM",46.53123828,-84.4095209
460,"Royce Avenue","P6C 5R4","SSM",46.5296831,-84.40589408
984,"Base Line","P6A 5K6","SSM",46.52175977,-84.4299357
31,"Wardell Road","P6A 5K8","SSM",46.56024155,-84.38477117
415,"Nixon Road","P6C 5R7","SSM",46.53484494,-84.41222701
322,"Kingsford Road","P6C 2W4","SSM",46.54162635,-84.3675998
0,"Hudson Street","P6A 1S9","SSM",46.51789493,-84.35164363
79,"Anderson Road","P6C 6G5","SSM",46.53888284,-84.41425435
1507,"Leigh's Bay Road","P6A 5K8","SSM",46.55590203,-84.42605442
900,"Third Line West","P6A 5K8","SSM",46.55223927,-84.39633658
537,"Allen's Side Road","P6A 5K8","SSM",46.54254628,-84.40455989
616,"Fourth Line West","P6A 0B5","SSM",46.56654656,-84.38139752
90,"Maki Road","P6A 5K8","SSM",46.55347566,-84.41381684
185,"McQueen Road","P6C 6E3","SSM",46.56274303,-84.39228535
871,"Allen's Side Road","P6A 5K8","SSM",46.5517353,-84.4040471
628,"Old Goulais Bay Road","P6A 0B5","SSM",46.5741283,-84.34188284
1569,"Base Line","P6A 5K6","SSM",46.51962743,-84.45826214
1242,"Carpin Beach Road","P6A 5K8","SSM",46.54494278,-84.44545374
1108,"Goulais Avenue","P6A 5K8","SSM",46.56171742,-84.38253608
4972,"Third Line West","P6A 5K8","SSM",46.55009857,-84.46427497
1687,"Base Line","P6A 5K6","SSM",46.51973817,-84.46329217
9,"Ellis Road","P6C 1N7","SSM",46.531379,-84.40559811
1920,"Third Line West","P6A 5K8","SSM",46.55001426,-84.44725055
79,"Hiltz Road","P6A 0E4","Aweres Township",46.63286922,-84.29896092
79,"Hiltz Road","P6A 0E4","Aweres Township",46.63272303,-84.29967567
1160,"Allen's Side Road","P6A 5K8","SSM",46.56113417,-84.40361655
830,"Third Line West","P6A 5K8","SSM",46.55152423,-84.39291728
1335,"Leigh's Bay Road","P6A 5K8","SSM",46.5498801,-84.42543606
340,"Maki Road","P6A 5K8","SSM",46.5632011,-84.41419473
707,"Highway 17 North","P6A 5K7","Aweres Township",46.6395832,-84.30587859
409,"Nixon Road","P6C 5R7","SSM",46.53465922,-84.41219319
1169,"Town Line Road","P6A 6K4","Prince",46.54176549,-84.46696909
146,"McQueen Road","P6C 6E3","SSM",46.56325366,-84.39037552
818,"Allen's Side Road","P6A 5K8","SSM",46.55229432,-84.40324004
717,"Highway 17 North","P6A 5K7","Aweres Township",46.64011965,-84.30613301
2258,"Second Line West","P6A 5K6","SSM",46.53557826,-84.46403285
111,"Palomino Drive","P6A 0B2","SSM",46.54666354,-84.41181428
1552,"Base Line","P6A 5K6","SSM",46.52194271,-84.4565118
731,"Highway 17 North","P6A 5K7","Aweres Township",46.64061094,-84.30652218
751,"Highway 17 North","P6A 5K7","Aweres Township",46.64123063,-84.30701317
757,"Highway 17 North","P6A 5K7","Aweres Township",46.64142352,-84.30790091
193,"Princeton Drive","P6B 6G1","SSM",46.5287692,-84.29882015
108,"McQueen Road","P6C 6E3","SSM",46.56332468,-84.38869306
488,"Albert Street East","P6A 2K2","SSM",46.51145646,-84.32998597
203,"Industrial Park Crescent","P6B 5P3","SSM",46.54508202,-84.32483683
879,"Carpin Beach Road","P6A 5K6","SSM",46.53149303,-84.44558133
842,"Second Line West","P6C 2L3","SSM",46.53700125,-84.3921998
194,"McQueen Road","P6C 6E3","SSM",46.56317306,-84.39282646
139,"Spring Street","P6A 3A2","SSM",46.5110948,-84.33017277
4057,"Third Line West","P6A 5K8","SSM",46.54824705,-84.46357074
364,"Maki Road","P6A 5K8","SSM",46.56405645,-84.41448888
185,"Allen's Side Road","P6C 5P4","SSM",46.52835585,-84.40278588
145,"Foothill Road","P6C 0E5","SSM",46.56446333,-84.39046936
733,"River Road","P6A 5K9","SSM",46.53166918,-84.23474416
1000,"Goulais Avenue","P6A 5K8","SSM",46.558273,-84.38146914
