"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Country Club Place"," ","Country Club","Place"," ",52,76,57,79,"[[[708671.5299999993,5153919.08],[708665.1400000006,5154011.48]]]"
"East Champagne Drive","East","Champagne","Drive"," ",3,117,4,120,"[[[710257.8800000008,5154168.029999999],[710293.9199999999,5154245.380000001],[710297.4700000007,5154254.460000001],[710298.2799999993,5154259.73],[710297.8300000001,5154264.08],[710296.6600000001,5154267.76],[710294.7200000007,5154271.390000001],[710291.8699999992,5154274.66],[710287.6999999993,5154277.58],[710275.2799999993,5154283.699999999],[710169.9499999993,5154332.49],[710068.9499999993,5154397.449999999],[710059.8100000005,5154403.369999999],[710051.6199999992,5154408.6899999995],[710042.75,5154414.0600000005],[710037.5600000005,5154415.619999999],[710031.1600000001,5154415.949999999],[710024.8599999994,5154414.24],[710019.7799999993,5154410.890000001],[710014.9600000009,5154406.35],[709963.0899999999,5154356.41]]]"
"Louise Avenue"," ","Louise","Avenue"," ",60,110,61,119,"[[[709646.1199999992,5153303.24],[709786.5899999999,5153529.539999999]]]"
"Queen Street East"," ","Queen","Street","East",1950,2006,1941,2005,"[[[709606.7200000007,5153034.300000001],[709653.9499999993,5153098.1899999995],[709737.9600000009,5153232.869999999]]]"
"McNeice Street"," ","McNeice","Street"," ",60,110,59,113,"[[[709932.4199999999,5153313.91],[709967.5399999991,5153338.24],[709994.8900000006,5153372.77],[710034.4199999999,5153401.58],[710056.4800000004,5153420.140000001],[710072.2599999998,5153436.779999999]]]"
"McNeice Street"," ","McNeice","Street"," ",6,58,5,57,"[[[709737.9600000009,5153232.869999999],[709775.7400000002,5153210.4399999995],[709781.6300000008,5153207.52],[709787.2200000007,5153206.529999999],[709791.7400000002,5153207.98],[709835.0999999996,5153248.1]]]"
"Northland Road"," ","Northland","Road"," ",311,343,314,346,"[[[703748.4399999995,5155827.199999999],[703672.3399999999,5155837.4],[703616.0700000003,5155892.52]]]"
"Huron Street"," ","Huron","Street"," ",319,351,0,0,"[[[703532.3399999999,5155752.119999999],[703542.5399999991,5155829.710000001]]]"
"St. George's Avenue West"," ","St. George's","Avenue","West",49,81,44,82,"[[[703940.5800000001,5155702.77],[703840.4600000009,5155715.34]]]"
"Bush Street"," ","Bush","Street"," ",351,375,338,378,"[[[703840.4600000009,5155715.34],[703856.7400000002,5155857.710000001]]]"
"Morin Street"," ","Morin","Street"," ",337,375,346,382,"[[[703940.5800000001,5155702.77],[703955.9499999993,5155845.109999999]]]"
"Wellington Street West"," ","Wellington","Street","West",289,309,280,298,"[[[703542.5399999991,5155829.710000001],[703496.9399999995,5155875.91]]]"
"Northland Road"," ","Northland","Road"," ",345,373,348,372,"[[[703616.0700000003,5155892.52],[703583.2400000002,5155927.9],[703565.3399999999,5155945.710000001]]]"
"Boydell Place"," ","Boydell","Place"," ",385,389,0,0,"[[[703496.9399999995,5155875.91],[703565.3399999999,5155945.710000001]]]"
"Northland Road"," ","Northland","Road"," ",375,391,372,392,"[[[703565.3399999999,5155945.710000001],[703551.1400000006,5155959.710000001],[703526.2400000002,5155985.3100000005]]]"
"John Street"," ","John","Street"," ",379,423,380,424,"[[[703752.7699999996,5155870.18],[703767.6199999992,5156012.08]]]"
"Cornwall Street"," ","Cornwall","Street"," ",0,0,0,0,"[[[703856.7400000002,5155857.710000001],[703752.7699999996,5155870.18]]]"
"York Street"," ","York","Street"," ",0,0,0,0,"[[[703868.8100000005,5155998.93],[703830.4499999993,5156004.4399999995],[703767.6199999992,5156012.08]]]"
"Bush Street"," ","Bush","Street"," ",377,425,380,420,"[[[703856.7400000002,5155857.710000001],[703868.8100000005,5155998.93]]]"
"Bush Street"," ","Bush","Street"," ",427,463,422,464,"[[[703868.8100000005,5155998.93],[703881.0500000007,5156129.3100000005]]]"
"Morin Street"," ","Morin","Street"," ",421,465,424,476,"[[[703967.7300000004,5155985.779999999],[703978.5600000005,5156088.109999999],[703982.0600000005,5156116.9]]]"
"Bloor Street West"," ","Bloor","Street","West",63,83,54,82,"[[[703982.0600000005,5156116.9],[703881.0500000007,5156129.3100000005]]]"
"John Street"," ","John","Street"," ",363,377,364,378,"[[[703748.4399999995,5155827.199999999],[703752.7699999996,5155870.18]]]"
"Cornwall Street"," ","Cornwall","Street"," ",0,0,0,0,"[[[703955.9499999993,5155845.109999999],[703939.5500000007,5155847.41],[703869.9399999995,5155855.91],[703856.7400000002,5155857.710000001]]]"
"York Street"," ","York","Street"," ",0,0,0,0,"[[[703967.7300000004,5155985.779999999],[703868.8100000005,5155998.93]]]"
"Laura Street"," ","Laura","Street"," ",121,159,120,174,"[[[702663.4600000009,5157063.01],[702493.8399999999,5157051.09],[702485.4499999993,5157050.48],[702477.3000000007,5157048.84],[702473.3000000007,5157045.75],[702470.5099999998,5157040.65],[702470.2200000007,5157034.18],[702470.4499999993,5157031.140000001],[702471.3399999999,5157016.02]]]"
"Churchill Avenue"," ","Churchill","Avenue"," ",21,169,22,172,"[[[703067.4499999993,5157404.640000001],[702483.5899999999,5157364.23]]]"
"McCrea Street"," ","McCrea","Street"," ",53,85,52,80,"[[[707378.75,5153979.25],[707370.2899999991,5154202.539999999]]]"
"Wellington Street East"," ","Wellington","Street","East",1490,1498,1473,1493,"[[[707370.2899999991,5154202.539999999],[707487.4900000002,5154206.630000001]]]"
"Breton Road"," ","Breton","Road"," ",80,104,85,105,"[[[706977.6500000004,5154346.73],[707003.6699999999,5154356.220000001],[707014.3599999994,5154360.279999999],[707044.4399999995,5154372.98],[707056.6899999995,5154378.49],[707071.2400000002,5154385.24]]]"
"Meadow Park Crescent"," ","Meadow Park","Crescent"," ",55,73,48,78,"[[[708130.3699999992,5154473.6899999995],[708125.0500000007,5154615.59]]]"
"Taber Street"," ","Taber","Street"," ",0,0,0,0,"[[[707741.2100000009,5154031.1],[707878.0500000007,5154038.109999999]]]"
"Nicolas Avenue"," ","Nicolas","Avenue"," ",11,27,10,26,"[[[707808.2300000004,5154221.1899999995],[707803.9800000004,5154325.050000001]]]"
"Glenholme Drive"," ","Glenholme","Drive"," ",67,101,68,104,"[[[707741.2100000009,5154031.1],[707734.8200000003,5154217.279999999]]]"
"Orion Street"," ","Orion","Street"," ",7,29,8,32,"[[[707307.1899999995,5154878.960000001],[707355.3300000001,5154959.6899999995],[707355.7300000004,5154960.289999999],[707356.1300000008,5154960.890000001],[707356.5299999993,5154961.49],[707356.9299999997,5154961.99],[707357.2300000004,5154962.6899999995],[707357.5199999996,5154963.289999999],[707357.9299999997,5154963.890000001],[707358.2300000004,5154964.49],[707358.5299999993,5154965.09],[707358.8300000001,5154965.6899999995],[707359.1199999992,5154966.390000001],[707359.4299999997,5154966.99],[707359.6300000008,5154967.6899999995],[707359.9199999999,5154968.289999999],[707360.1300000008,5154968.890000001],[707360.4299999997,5154969.59],[707360.6199999992,5154970.279999999],[707360.8200000003,5154970.890000001],[707361.0299999993,5154971.59],[707361.2300000004,5154972.279999999],[707361.4199999999,5154972.890000001],[707361.5199999996,5154973.59],[707361.7300000004,5154974.279999999],[707361.8300000001,5154974.98],[707361.9299999997,5154975.6899999995],[707362.1300000008,5154976.279999999],[707362.2200000007,5154976.98],[707362.3200000003,5154977.68],[707362.3200000003,5154978.390000001],[707362.4299999997,5154979.09],[707362.5299999993,5154979.779999999],[707362.5299999993,5154980.48],[707362.5299999993,5154981.18],[707362.6300000008,5154981.880000001],[707362.6300000008,5154982.59],[707362.6300000008,5154983.279999999],[707362.5299999993,5154984.48],[707359.0199999996,5155058.09]]]"
"Sisson Street"," ","Sisson","Street"," ",7,31,8,32,"[[[707307.1899999995,5154878.960000001],[707257.0299999993,5154949.1899999995],[707252.9299999997,5154954.789999999],[707251.2200000007,5154956.789999999],[707249.7200000007,5154958.890000001],[707248.2300000004,5154961.49],[707247.2200000007,5154963.890000001],[707246.3499999996,5154966.210000001],[707245.7300000004,5154968.73],[707245.3200000003,5154971.279999999],[707245.1300000008,5154973.890000001],[707245.2200000007,5154976.98],[707241.4700000007,5155053.42]]]"
"Wireless Avenue"," ","Wireless","Avenue"," ",50,60,51,51,"[[[707241.4700000007,5155053.42],[707168.7100000009,5155056.0600000005],[707166.7200000007,5155056.02],[707162.3000000007,5155055.800000001],[707157.5399999991,5155055.27],[707153.1999999993,5155053.140000001],[707150.1300000008,5155050.880000001]]]"
"MacDonald Avenue"," ","MacDonald","Avenue"," ",496,522,485,527,"[[[707150.8200000003,5154872.779999999],[707307.1899999995,5154878.960000001]]]"
"Lake Street"," ","Lake","Street"," ",427,471,428,468,"[[[707461.5700000003,5154884.210000001],[707454.7200000007,5155060.35]]]"
"MacDonald Avenue"," ","MacDonald","Avenue"," ",524,554,529,551,"[[[707307.1899999995,5154878.960000001],[707461.5700000003,5154884.210000001]]]"
"MacDonald Avenue"," ","MacDonald","Avenue"," ",556,578,553,585,"[[[707461.5700000003,5154884.210000001],[707589.9299999997,5154889.779999999]]]"
"Kingsmount Boulevard"," ","Kingsmount","Boulevard"," ",5,15,2,16,"[[[707589.9299999997,5154889.779999999],[707584.4299999997,5155001.08]]]"
"Parkdale Drive"," ","Parkdale","Drive"," ",109,135,110,124,"[[[707773.7100000009,5153547.59],[707777.3100000005,5153451.369999999],[707773.7699999996,5153446.3100000005],[707766.8800000008,5153443.359999999],[707673.5999999996,5153441.1]]]"
"Parkdale Drive"," ","Parkdale","Drive"," ",3,11,4,12,"[[[707677.5999999996,5153350.6899999995],[707673.5999999996,5153441.1]]]"
"Harten Street"," ","Harten","Street"," ",50,78,51,79,"[[[707261.75,5153973.960000001],[707378.75,5153979.25]]]"
"McCrea Street"," ","McCrea","Street"," ",15,51,14,50,"[[[707387.7200000007,5153747.23],[707378.75,5153979.25]]]"
"Lake Street"," ","Lake","Street"," ",213,261,218,268,"[[[707495.3599999994,5153982.880000001],[707487.4900000002,5154206.630000001]]]"
"Lake Street"," ","Lake","Street"," ",161,211,162,216,"[[[707507.5099999998,5153751.779999999],[707495.3599999994,5153982.880000001]]]"
"Lake Street"," ","Lake","Street"," ",117,159,118,160,"[[[707512.2799999993,5153602.789999999],[707507.7100000009,5153725.390000001],[707507.5099999998,5153751.779999999]]]"
"Mark Street"," ","Mark","Street"," ",84,110,91,109,"[[[707387.7200000007,5153747.23],[707492.3000000007,5153752.09],[707504.6999999993,5153751.779999999],[707507.5099999998,5153751.779999999]]]"
"Churchill Boulevard"," ","Churchill","Boulevard"," ",0,0,46,92,"[[[707242.5399999991,5153740.880000001],[707265.2100000009,5153902.199999999],[707261.75,5153973.960000001]]]"
"Harten Street"," ","Harten","Street"," ",80,98,81,99,"[[[707378.75,5153979.25],[707495.3599999994,5153982.880000001]]]"
"Mark Street"," ","Mark","Street"," ",50,82,51,89,"[[[707242.5399999991,5153740.880000001],[707387.7200000007,5153747.23]]]"
"Georgina Street"," ","Georgina","Street"," ",30,38,31,39,"[[[707773.7100000009,5153547.59],[707896.9100000001,5153552.98]]]"
"Glenholme Drive"," ","Glenholme","Drive"," ",39,65,32,66,"[[[707745.9600000009,5153892.859999999],[707746.8300000001,5153897.15],[707746.8200000003,5153899.99],[707741.2100000009,5154031.1]]]"
"Mark Street"," ","Mark","Street"," ",112,128,111,129,"[[[707507.5099999998,5153751.779999999],[707513.9100000001,5153751.59],[707566.4000000004,5153754.279999999],[707576.3000000007,5153753.59],[707585.9100000001,5153750.48],[707592.3100000005,5153748.59],[707600.3200000003,5153748.1899999995],[707628.2899999991,5153747.91]]]"
"LaRonde Avenue"," ","LaRonde","Avenue"," ",120,170,113,187,"[[[706638.1500000004,5155031.6899999995],[706640.5999999996,5154970.67],[706641,5154961.07],[706641.5199999996,5154953.800000001],[706643.9600000009,5154947.880000001],[706648.9000000004,5154943.9399999995],[706655.7200000007,5154942.449999999],[706663.1300000008,5154942.51],[706746.9299999997,5154945.460000001],[706753.8399999999,5154945.220000001],[706759.4199999999,5154943.470000001],[706763.9499999993,5154939.720000001],[706766.4600000009,5154934.68],[706766.9399999995,5154929.529999999],[706766.2100000009,5154923.65],[706765.6799999997,5154916.5],[706765.8300000001,5154910.9],[706767.5099999998,5154857.27]]]"
"Creery Avenue"," ","Creery","Avenue"," ",8,68,3,85,"[[[706857.4100000001,5154715.6899999995],[707303.6799999997,5154733.07]]]"
"Pine Street"," ","Pine","Street"," ",343,375,344,420,"[[[706563.2899999991,5154314.1899999995],[706552.2799999993,5154585.9399999995]]]"
"Garrison Way"," ","Garrison","Way"," ",0,0,0,0,"[[[706266.5899999999,5154516.890000001],[706398.75,5154571.26],[706408.9199999999,5154574.789999999],[706422.4000000004,5154578.890000001],[706435.7200000007,5154580.890000001],[706448.1899999995,5154582.3100000005],[706552.2799999993,5154585.9399999995]]]"
"Forest Avenue"," ","Forest","Avenue"," ",0,0,101,113,"[[[706184.1400000006,5154267.9],[706276.6799999997,5154272.09]]]"
"Stanley Street"," ","Stanley","Street"," ",100,170,101,171,"[[[706571.2799999993,5154077.65],[706871.1500000004,5154089.220000001]]]"
"Sheppard Street"," ","Sheppard","Street"," ",9,39,4,38,"[[[706574.5099999998,5153991.52],[706724.25,5153997.210000001]]]"
"Pine Street"," ","Pine","Street"," ",163,189,168,180,"[[[706574.2599999998,5154003.85],[706571.2799999993,5154077.65]]]"
"Manor Road"," ","Manor","Road"," ",20,20,0,0,"[[[706506.8800000008,5154031.5],[706574.2599999998,5154003.85]]]"
"Pine Street"," ","Pine","Street"," ",161,163,166,166,"[[[706574.5099999998,5153991.52],[706574.2599999998,5154003.85]]]"
"Breton Road"," ","Breton","Road"," ",50,78,53,83,"[[[706873,5154325.390000001],[706895.2100000009,5154327.02],[706904.3000000007,5154327.59],[706920,5154330.91],[706939.5700000003,5154335.279999999],[706952.7599999998,5154338.970000001],[706965.1500000004,5154342.8100000005],[706977.6500000004,5154346.73]]]"
"Sheppard Street"," ","Sheppard","Street"," ",41,79,0,0,"[[[706724.25,5153997.210000001],[706874.3000000007,5154003.32]]]"
"Elizabeth Street"," ","Elizabeth","Street"," ",283,285,280,286,"[[[706874.3000000007,5154003.32],[706871.1500000004,5154089.220000001]]]"
"Breton Road"," ","Breton","Road"," ",4,12,5,15,"[[[706563.2899999991,5154314.1899999995],[706661.8900000006,5154317.74]]]"
"Pine Street"," ","Pine","Street"," ",481,575,472,578,"[[[706542.0800000001,5154849.539999999],[706528.5399999991,5155240.77]]]"
"Northland Road"," ","Northland","Road"," ",393,465,394,460,"[[[703526.2400000002,5155985.3100000005],[703471.3599999994,5156042.33],[703468.3800000008,5156047.640000001],[703467.4900000002,5156059.369999999],[703481.5899999999,5156179.630000001]]]"
"Parliament Street"," ","Parliament","Street"," ",429,469,414,468,"[[[703526.2400000002,5155985.3100000005],[703562.6099999994,5156024.85],[703565.8800000008,5156036.630000001],[703582.0399999991,5156166.34]]]"
"Goetz Street"," ","Goetz","Street"," ",97,127,0,0,"[[[701223.8599999994,5155752.23],[701216.5999999996,5155852.73]]]"
"Metzger Street"," ","Metzger","Street"," ",681,705,682,706,"[[[701223.8599999994,5155752.23],[701099.6600000001,5155743.9]]]"
"Central Street"," ","Central","Street"," ",65,93,68,94,"[[[701107.1999999993,5155641.880000001],[701099.6600000001,5155743.9]]]"
"Goetz Street"," ","Goetz","Street"," ",71,95,0,0,"[[[701225.9700000007,5155686.9],[701226.8599999994,5155700.210000001],[701223.8599999994,5155752.23]]]"
"Oakwood Drive"," ","Oakwood","Drive"," ",0,0,0,0,"[[[705619.1899999995,5154971.609999999],[705719.6300000008,5154975.67]]]"
"Bellevue Avenue"," ","Bellevue","Avenue"," ",121,137,120,138,"[[[705719.6300000008,5154975.67],[705718.0899999999,5155027.890000001],[705718.1799999997,5155028.6899999995],[705718.6799999997,5155039.33],[705721.1899999995,5155044.92],[705724.3100000005,5155050.449999999],[705729.4399999995,5155057.109999999],[705733.1999999993,5155061.369999999],[705738.0700000003,5155065.300000001],[705746.6600000001,5155067.76],[705758.0299999993,5155068.1899999995],[705764.1799999997,5155068.42],[705822.5500000007,5155069.949999999]]]"
"Brien Avenue"," ","Brien","Avenue"," ",109,127,108,126,"[[[706030.3800000008,5154928.58],[706026.2699999996,5155026.050000001]]]"
"Curran Drive"," ","Curran","Drive"," ",36,80,35,69,"[[[705824.5,5155018.24],[706026.2699999996,5155026.050000001]]]"
"Oakwood Drive"," ","Oakwood","Drive"," ",22,26,21,27,"[[[705719.6300000008,5154975.67],[705742.3100000005,5154972.82],[705770.1799999997,5154952.890000001]]]"
"Bellevue Avenue"," ","Bellevue","Avenue"," ",107,119,106,118,"[[[705721.5800000001,5154912.66],[705719.6300000008,5154975.67]]]"
"Curran Drive"," ","Curran","Drive"," ",0,0,23,27,"[[[705721.5800000001,5154912.66],[705770.1799999997,5154952.890000001]]]"
"Curran Drive"," ","Curran","Drive"," ",30,34,0,0,"[[[705770.1799999997,5154952.890000001],[705824.7899999991,5154993.699999999]]]"
"Poplar Avenue"," ","Poplar","Avenue"," ",121,129,128,130,"[[[705824.7899999991,5154993.699999999],[705824.5,5155018.24]]]"
"Coulson Avenue"," ","Coulson","Avenue"," ",1,75,2,76,"[[[706349.4800000004,5153667.300000001],[706506.8800000008,5154031.5]]]"
"Riverview Avenue"," ","Riverview","Avenue"," ",9,69,10,68,"[[[706431.4199999999,5153661.800000001],[706549.4199999999,5153934.85],[706551.4199999999,5153939.3100000005],[706553.5800000001,5153941.5600000005],[706557.0299999993,5153943.1899999995],[706562.5600000005,5153943.359999999],[706576.4299999997,5153942.23]]]"
"Queen Street East"," ","Queen","Street","East",1228,1262,1227,1261,"[[[706888.5800000001,5153632.859999999],[707012.8900000006,5153624.5],[707023.3900000006,5153623.300000001],[707029.6899999995,5153622.4],[707035.8900000006,5153621.4],[707041.9900000002,5153620.300000001],[707048.1899999995,5153619.1],[707054.2899999991,5153617.789999999],[707060.3900000006,5153616.390000001],[707066.5,5153614.890000001],[707072.5999999996,5153613.1899999995],[707078.5899999999,5153611.49],[707084.5999999996,5153609.6899999995],[707090.4900000002,5153607.6899999995],[707096.4900000002,5153605.6899999995],[707102.3900000006,5153603.5],[707108.1999999993,5153601.1899999995],[707113.9900000002,5153598.890000001],[707170.1500000004,5153574.880000001]]]"
"Leo Avenue"," ","Leo","Avenue"," ",111,153,110,154,"[[[705994.2599999998,5153689.6],[706094.2200000007,5153928.779999999]]]"
"Queen Street East"," ","Queen","Street","East",1070,1078,1079,1079,"[[[706201.8000000007,5153676.26],[706257.3699999992,5153672.800000001]]]"
"Pine Street"," ","Pine","Street"," ",101,139,100,138,"[[[706586.2699999996,5153652.289999999],[706581.2100000009,5153819.470000001]]]"
"Queen Street East"," ","Queen","Street","East",1164,1174,1125,1171,"[[[706431.4199999999,5153661.800000001],[706586.2699999996,5153652.289999999]]]"
"Riverview Avenue"," ","Riverview","Avenue"," ",3,7,4,8,"[[[706389.5,5153589.609999999],[706419.8699999992,5153662.960000001]]]"
"McPhail Avenue"," ","McPhail","Avenue"," ",8,18,7,13,"[[[706389.5,5153589.609999999],[706402.1600000001,5153586.6899999995],[706416.8399999999,5153584.65],[706458.9800000004,5153582.26]]]"
"Queen Street East"," ","Queen","Street","East",1080,1088,1081,1089,"[[[706257.3699999992,5153672.800000001],[706313.3900000006,5153669.4]]]"
"Queen Street East"," ","Queen","Street","East",1090,1148,1091,1099,"[[[706313.3900000006,5153669.4],[706349.4800000004,5153667.300000001]]]"
"Queen Street East"," ","Queen","Street","East",1150,1162,1101,1119,"[[[706349.4800000004,5153667.300000001],[706419.8699999992,5153662.960000001]]]"
"Queen Street East"," ","Queen","Street","East",0,0,1121,1123,"[[[706419.8699999992,5153662.960000001],[706431.4199999999,5153661.800000001]]]"
"Victoria Avenue"," ","Victoria","Avenue"," ",0,0,0,0,"[[[706044.1899999995,5153936.220000001],[706094.2200000007,5153928.779999999]]]"
"Manor Road"," ","Manor","Road"," ",10,18,0,0,"[[[706425.4299999997,5154066],[706464.8699999992,5154049.52],[706481.8900000006,5154042.1],[706506.8800000008,5154031.5]]]"
"Argyle Road"," ","Argyle","Road"," ",10,28,9,27,"[[[706577.6199999992,5153904.65],[706727.8599999994,5153910.710000001]]]"
"Heavenor Street"," ","Heavenor","Street"," ",116,128,117,149,"[[[706581.2100000009,5153819.470000001],[706729.9800000004,5153825.09]]]"
"Queen Street East"," ","Queen","Street","East",1176,1226,1173,1225,"[[[706586.2699999996,5153652.289999999],[706888.5800000001,5153632.859999999]]]"
"McMeeken Street"," ","McMeeken","Street"," ",0,0,15,25,"[[[706724.25,5153997.210000001],[706727.8599999994,5153910.710000001]]]"
"Pine Street"," ","Pine","Street"," ",141,151,140,152,"[[[706581.2100000009,5153819.470000001],[706577.6199999992,5153904.65]]]"
"McMeeken Street"," ","McMeeken","Street"," ",0,0,27,39,"[[[706727.8599999994,5153910.710000001],[706729.9800000004,5153825.09]]]"
"Pine Street"," ","Pine","Street"," ",155,159,162,164,"[[[706576.4299999997,5153942.23],[706574.5099999998,5153991.52]]]"
"Pine Street"," ","Pine","Street"," ",153,153,154,162,"[[[706577.6199999992,5153904.65],[706576.4299999997,5153942.23]]]"
"Parkdale Drive"," ","Parkdale","Drive"," ",13,107,14,108,"[[[707673.5999999996,5153441.1],[707666.0399999991,5153632.51],[707666.4100000001,5153638.65],[707668.1500000004,5153642.67],[707671.4900000002,5153645.75],[707675.5600000005,5153647.52],[707755.8200000003,5153649.49],[707760.25,5153649.630000001],[707764.3499999996,5153648.539999999],[707768.6600000001,5153643.109999999],[707769.7200000007,5153638.51],[707773.7100000009,5153547.59]]]"
"Bonney Street"," ","Bonney","Street"," ",0,0,684,722,"[[[701225.9700000007,5155686.9],[701223.6500000004,5155682.4],[701220.0800000001,5155678.970000001],[701211.4000000004,5155672.84],[701195.0600000005,5155661.82],[701181.9600000009,5155653.77],[701175.9199999999,5155651.07],[701175.0700000003,5155650.720000001],[701167.7799999993,5155647.5600000005],[701151.3499999996,5155645.720000001],[701107.1999999993,5155641.880000001]]]"
"Ransome Drive"," ","Ransome","Drive"," ",15,41,2,46,"[[[699188.9000000004,5156276.5600000005],[698999.2100000009,5156263.9399999995]]]"
"Eden Square"," ","Eden","Square"," ",0,0,7,19,"[[[699755.2599999998,5156494.380000001],[699700.8200000003,5156492.359999999],[699696.1799999997,5156493.35],[699694.0600000005,5156494.26],[699691.1600000001,5156496.01],[699687.4399999995,5156499.380000001],[699684.3000000007,5156503.57],[699680.4600000009,5156513.9399999995],[699674.4499999993,5156562.41]]]"
"Whitney Avenue"," ","Whitney","Avenue"," ",291,343,296,350,"[[[700037.5399999991,5156384.720000001],[700023.8399999999,5156585.74]]]"
"Roosevelt Avenue"," ","Roosevelt","Avenue"," ",131,151,130,152,"[[[699913.7799999993,5156376.92],[699911.6600000001,5156401.880000001],[699909.8599999994,5156432.470000001],[699907.7300000004,5156465.859999999],[699900.1799999997,5156576.82]]]"
"Wallace Terrace"," ","Wallace","Terrace"," ",947,981,946,980,"[[[699927.5999999996,5156174.029999999],[699776.9900000002,5156163.539999999]]]"
"Wallace Terrace"," ","Wallace","Terrace"," ",983,1017,982,1018,"[[[699776.9900000002,5156163.539999999],[699636.9800000004,5156153.58]]]"
"Eden Square"," ","Eden","Square"," ",20,34,0,0,"[[[699823.1099999994,5156572.85],[699818.3800000008,5156626.01],[699815.0999999996,5156632.34],[699813.5899999999,5156633.75],[699811.4900000002,5156636.4],[699809.7300000004,5156637.68],[699806.9499999993,5156639.25],[699804.1300000008,5156640.42],[699801.1300000008,5156641.300000001],[699797.8300000001,5156641.869999999],[699793.5500000007,5156642.130000001],[699744.5299999993,5156639.9399999995]]]"
"Eden Square"," ","Eden","Square"," ",8,18,0,0,"[[[699755.2599999998,5156494.380000001],[699800.1199999992,5156497.85],[699812.5199999996,5156500.58],[699817.5199999996,5156503.699999999],[699820.1899999995,5156506.09],[699822.9600000009,5156509.949999999],[699824.5399999991,5156513.640000001],[699825.3200000003,5156516.710000001],[699825.5800000001,5156522.68],[699825.1999999993,5156536.970000001],[699823.1099999994,5156572.85]]]"
"North Eden Street","North","Eden","Street"," ",7,59,8,48,"[[[699744.5299999993,5156639.9399999995],[699728.7100000009,5156876.65]]]"
"Brookfield Avenue"," ","Brookfield","Avenue"," ",149,197,152,192,"[[[699609.2300000004,5156557.470000001],[699581.9299999997,5156961.34]]]"
"Eden Square"," ","Eden","Square"," ",0,0,21,31,"[[[699674.4499999993,5156562.41],[699673.1400000006,5156600.890000001],[699673.4399999995,5156611.5],[699673.5199999996,5156613.449999999],[699674.4499999993,5156618.609999999],[699675.8399999999,5156622.119999999],[699677.5500000007,5156625.0600000005],[699679.4199999999,5156627.51],[699680.8800000008,5156628.9399999995],[699683.9499999993,5156631.01],[699688.3699999992,5156633.029999999],[699691.0299999993,5156634.01],[699693.9199999999,5156634.85],[699696.7599999998,5156635.460000001],[699701.3100000005,5156636.199999999],[699701.7300000004,5156636.17],[699744.5299999993,5156639.9399999995]]]"
"West Balfour Street","West","Balfour","Street"," ",0,0,0,0,"[[[699674.4499999993,5156562.41],[699609.2300000004,5156557.470000001]]]"
"North Eden Street","North","Eden","Street"," ",61,63,0,0,"[[[699728.7100000009,5156876.65],[699721.1300000008,5156971.08]]]"
"Third Line West"," ","Third","Line","West",1063,1199,1050,1200,"[[[699042.1300000008,5158541.66],[698929.4499999993,5158534.529999999],[698372.6899999995,5158496.390000001],[698342.5,5158493.1]]]"
"Palomino Drive"," ","Palomino","Drive"," ",5,35,4,40,"[[[699084.2300000004,5157864.460000001],[699042.0399999991,5157860.529999999],[699011.9100000001,5157859.039999999],[698999.2100000009,5157857.699999999],[698995.1699999999,5157857.0600000005],[698990.5999999996,5157856.039999999],[698986.7699999996,5157855],[698983,5157853.73],[698979.3499999996,5157852.359999999],[698975.4800000004,5157850.66],[698957.7400000002,5157840.93],[698953.0500000007,5157838.58],[698949.6099999994,5157836.9],[698945.75,5157835.119999999],[698942.0700000003,5157833.529999999],[698938.5899999999,5157832.1899999995],[698936.2599999998,5157831.369999999],[698919.1799999997,5157827.77],[698738.7100000009,5157813.51]]]"
"Allen's Side Road"," ","Allen's Side","Road"," ",605,869,600,788,"[[[699084.2300000004,5157864.460000001],[699042.1300000008,5158541.66]]]"
"Pinto Drive"," ","Pinto","Drive"," ",45,111,48,104,"[[[698738.7100000009,5157813.51],[698740.9199999999,5157800.84],[698740.5999999996,5157777.130000001],[698737.3599999994,5157751.6899999995],[698733.1699999999,5157714.880000001],[698733.4100000001,5157709.5600000005],[698734.75,5157697.43],[698736.9000000004,5157684.1899999995],[698737.1600000001,5157680.9],[698737.3000000007,5157677.57],[698737.4000000004,5157675.02],[698737.4100000001,5157672.5600000005],[698737.3200000003,5157671.8100000005],[698737.2100000009,5157670.25],[698736.9199999999,5157666.970000001],[698736.3300000001,5157661.9399999995],[698735.8699999992,5157658.66],[698735.3800000008,5157655.09],[698734.6600000001,5157651.15],[698734.0099999998,5157647.859999999],[698733.7200000007,5157646.960000001],[698732.6799999997,5157643.27],[698730.8800000008,5157639.199999999],[698727.8599999994,5157634.539999999],[698725.4399999995,5157631.640000001],[698722.2799999993,5157628.67],[698719.5700000003,5157626.640000001],[698718.7699999996,5157626.16],[698716.4700000007,5157624.880000001],[698585.6999999993,5157575.789999999],[698578.0800000001,5157572.09],[698536.4900000002,5157538.0600000005]]]"
