"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Frontenac Street"," ","Frontenac","Street"," ",238,468,0,0,"[[[710100.8200000003,5156397.15],[710475.8399999999,5156656.4],[710584.6699999999,5156730.68],[710691.4499999993,5156803.27],[711098.9900000002,5157081.4399999995],[711175.1899999995,5157134.42]]]"
"Frontenac Street"," ","Frontenac","Street"," ",872,998,0,0,"[[[712002.9800000004,5157700.380000001],[712296.8000000007,5157901.24],[712301.9308076081,5157905.388861172],[712306.332360793,5157910.304607838],[712309.891439279,5157915.8607932255],[712312.516493598,5157921.914496683],[712314.1400000006,5157928.3100000005],[712315.9199999999,5157941.289999999]]]"
"Melville Road"," ","Melville","Road"," ",21,69,18,64,"[[[710339.4499999993,5155772.1],[710107.4800000004,5155922.82]]]"
"Chambers Avenue"," ","Chambers","Avenue"," ",376,410,373,411,"[[[710177.5800000001,5155522.57],[710266.6300000008,5155659.32]]]"
"Chambers Avenue"," ","Chambers","Avenue"," ",412,440,413,449,"[[[710266.6300000008,5155659.32],[710339.4499999993,5155772.1]]]"
"MacMurray Avenue"," ","MacMurray","Avenue"," ",98,122,113,121,"[[[710343.1899999995,5155618.710000001],[710315.7200000007,5155635.609999999],[710302.1199999992,5155641.77],[710290.2799999993,5155645.529999999],[710266.6300000008,5155659.32]]]"
"Chambers Avenue"," ","Chambers","Avenue"," ",442,462,451,467,"[[[710339.4499999993,5155772.1],[710412.9399999995,5155882.15]]]"
"Queen Street East"," ","Queen","Street","East",3884,3960,3877,3959,"[[[711079.2400000002,5155812.76],[711189.6799999997,5156052.4]]]"
"Dacey Road"," ","Dacey","Road"," ",97,137,106,140,"[[[710903.5,5155566.18],[710749.0399999991,5155666.66]]]"
"Hardwood Street"," ","Hardwood","Street"," ",126,134,131,133,"[[[710697.2400000002,5155587.25],[710749.0399999991,5155666.66]]]"
