"Name","Location","Address","Municipality","Owner","Access_","Age0_3","Age4_5","Age6_12","Surface","OtherSurfaceType","Swingset","SaucerSwing","Slides","Bars","FiremanPole","MerryGoRound","Platforms","Climbers","RockWall","SeeSaw","SpringRiders","PlaygroundGames","Splashpad","OtherEquipDesc","OtherEquipDesc1","OtherEquipDesc2","BasketballCourt","BaseballField","SoccerField","TennisCourt","VolleyballCourt","FinalScore2013","FinalScore2016","geometry.x","geometry.y"
"Penhorwood Park","Pine Street at MacDonald Avenue","2 Weldon Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,1,0,65,65,706365.6300233369,5154987.990002959
"Boston Park","Boston Avenue at Creery Avenue","15 Creery Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,0,0,,,,0,1,0,1,0,35,55,707064.8899911346,5154614.20997553
"Clark's Court Park","Chambers Avenue at Elaine Court","68 Chambers Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,1,1,0,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,70,90,709449.3399755564,5154512.080004832
"Wilcox Park","Wilcox Avenue between Spruce Street and Maple Street","65 Maple Street","Sault Ste. Marie","City","Public",1,1,1,"Grass","Sand - needs more",1,1,1,1,1,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,55,55,704452.9599793301,5155473.930005866
"MacDonald Park","Marconi Street",,"Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,,0,,95,707129.5158073506,5155189.338391736
"Francis H. Clergue","Francis H. Clergue Public School","80 Weldon Avenue","Sault Ste. Marie","ADSB","Schoolground",1,1,1,"Gravel","Grass",0,0,1,1,0,0,1,1,1,0,0,1,0,"Natural playground - logs and ropes and tires",,,1,1,1,,0,,70,706383.9506347576,5155166.714576658
"Prince Township Municipal Hall Playground","Prince Township Municipal Hall","3042 Second line West","Prince","Township","Public",1,1,0,"Sand","Grass",0,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,,0,,80,691565.6076653781,5156580.032805805
"Echo-Des-Rapides","Ecole Echo-Des-Rapides (Formerly St. Mark Catholic School)","145 Hugill Street","Sault Ste. Marie","CSPGNO","Schoolground",0,1,1,"Sand","Grass",0,0,1,1,0,0,0,1,0,1,0,0,0,"tether ball pole",,,0,1,0,,0,,85,707860.278132348,5153828.540389518
"Our Lady of Lourdes","Our Lady of Lourdes Catholic School","319 Prentice Avenue","Sault Ste. Marie","HSCDSB","Schoolground",0,1,1,"Gravel",,0,0,1,1,1,0,1,1,1,0,0,1,0,"Ball funnel",,,1,1,1,,0,,85,701366.3302987826,5157518.965110806
"Bellevue Park: Sensory Playground","Queen Street at Lake Street","1301 Queen Street East","Sault Ste. Marie","City","Public",1,1,1,"Rubber tiles","Wood chips",0,0,1,1,1,1,1,1,0,0,0,1,0,"Igloo","Ziplines - 2",,0,0,0,,0,,,707231.2099203754,5153369.190624004
"Pointe Des Chenes Park","Point Des Chenes Beach - Des Chenes Drive at Nokomis Beach Road","57 Des Chenes Drive","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,70,70,690056.3700029625,5149825.899975388
"Tarentorus","End of Northwood Street","96 Northwood Street","Sault Ste. Marie","ADSB","Schoolground",0,1,1,"Gravel","Grass",,,1,1,1,,1,1,1,,,1,,"Fireman truck","Ball funnel",,,,,,,,,706365.2069826972,5158224.286736125
"Tarentorus Eric Nystedt Memorial Playground","End of Northwood Street","96 Northwood Street","Sault Ste. Marie","ADSB","Schoolground",1,1,1,"Gravel","Grass, pavement ",1,,1,1,,,1,1,,1,,1,,"Tunnel and balance beam","Zip line","Saucer merry go round",1,1,1,,,,,706468.8969432923,5158210.05606117
"Tarentorus","End of Northwood Street","96 Northwood Street","Sault Ste. Marie","ADSB","Schoolground",,1,1,"Gravel","Grass",,,1,1,,,1,,1,,,,,,,,,,,,,,,706372.3261200199,5158150.307469141
"Northern Heights Park","Grandhaven Crescent and Strand Avenue","249-251 Strand Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,,1,1,1,,1,1,,,,,,,,,,,,,,,,704933.3141706204,5156432.499594553
"Northern Heights Park","Grandhaven Crescent and Strand Avenue","249-251 Strand Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,75,65,704932.8999872005,5156428.150023748
