"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
1659,,"Second Line West","P6A 5K8","SSM",46.53536815,-84.43327832,696818.2100000009,5156734.1
4,,"Anich Road","P6A 0B5","SSM",46.5722486,-84.38980914,700015.7100000009,5160941.3100000005
1363,,"Base Line","P6A 5K6","SSM",46.52030696,-84.44943506,695633.4399999995,5155020.449999999
168,,"Lakeshore Drive","P6A 5K8","Dennis",46.63020642,-84.52122961,689742.9100000001,5167056.17
792,,"Base Line","P6A 5K6","SSM",46.52178945,-84.42123098,697790.5,5155256.869999999
1888,,"Second Line West","P6A 5K8","SSM",46.53598715,-84.44324976,696051.3900000006,5156778.050000001
2065,,"Third Line West","P6A 5K8","SSM",46.54890543,-84.45464365,695131.4199999999,5158185.17
809,,"Town Line Road","P6A 6K4","Prince",46.52935287,-84.46687734,694263.3599999994,5155982.460000001
909,,"Fourth Line West","P6A 5K8","SSM",46.56517888,-84.39670467,699513.2699999996,5160138.3100000005
1964,,"Third Line West","P6A 5K8","SSM",46.55002478,-84.45021859,695466.6199999992,5158320.5
105,,"Allen's Side Road","P6C 5P4","SSM",46.52560997,-84.40265188,699202.2799999993,5155726.720000001
29,,"Anderson Road","P6C 5S1","SSM",46.53716139,-84.41398672,698290.9199999999,5156981.66
1413,,"Leigh's Bay Road","P6A 5K8","SSM",46.55255203,-84.42711606,697228.4399999995,5158658.82
1473,,"Leigh's Bay Road","P6A 5K8","SSM",46.5545105,-84.42618796,697292.4800000004,5158878.75
783,,"Town Line Road","P6A 6K4","Prince",46.52734072,-84.46640489,694306.7699999996,5155760.050000001
1695,,"Third Line West","P6A 5K8","SSM",46.54812899,-84.43657799,696519.1199999992,5158143.75
73,,"Pinto Drive","P6A 0B4","SSM",46.54220468,-84.40896939,698657.2200000007,5157554.65
111,,"McQueen Road","P6C 6E3","SSM",46.56255206,-84.38859197,700144.6600000001,5159867
758,,"Carpin Beach Road","P6A 5K6","SSM",46.52698119,-84.44414112,696015.4600000009,5155775.17
310,,"Nixon Road","P6C 5R8","SSM",46.5310943,-84.41112287,698532.6300000008,5156314.74
1603,,"Second Line West","P6A 5K8","SSM",46.53540635,-84.42999187,697070.0700000003,5156746.550000001
104,,"Ransome Drive","P6C 1N6","SSM",46.53061555,-84.4089521,698700.8399999999,5156267.01
122,,"Allen's Side Road","P6C 5P5","SSM",46.52613203,-84.40197749,699252.0899999999,5155786.43
2060,,"Third Line West","P6A 5K8","SSM",46.55004978,-84.45437723,695147.7400000002,5158312.98
55,,"Avery Road","P6A 5K8","SSM",46.55780393,-84.40678531,698767.6799999997,5159293.41
109,,"Hood Street","P6C 6E5","SSM",46.56176528,-84.39361588,699762.5199999996,5159766.84
1140,,"Goulais Avenue","P6A 5K8","SSM",46.56308737,-84.38238155,700618.6500000004,5159942.26
2117,,"Second Line West","P6A 5K6","SSM",46.53484237,-84.45630567,695054.4000000004,5156618.49
437,,"Nixon Road","P6C 5R7","SSM",46.53525534,-84.41228288,698428.5099999998,5156774.16
591,,"Maki Road","P6A 5K8","SSM",46.5694286,-84.4184874,697828.4700000007,5160555.619999999
154,,"Lakeshore Drive","P6A 5K8","Dennis",46.63033413,-84.52066553,689785.6400000006,5167071.720000001
833,,"Town Line Road","P6A 6K4","Prince",46.53011743,-84.46668698,694275.2300000004,5156067.880000001
1486,,"Third Line West","P6A 5K8","SSM",46.5508363,-84.42691306,697250.2200000007,5158468.6899999995
137,,"McQueen Road","P6C 6E3","SSM",46.56271634,-84.38986568,700046.4399999995,5159882.02
646,,"Lakeshore Drive","P6A 5K8","Dennis",46.61451347,-84.53542475,688710.9000000004,5165278.380000001
340,,"Nixon Road","P6C 5R9","SSM",46.53216058,-84.41121653,698521.5600000005,5156432.98
42,,"Lakeshore Drive","P6A 5K8","Dennis",46.63425345,-84.51650532,690090.3499999996,5167517.24
980,,"Allen's Side Road","P6A 5K8","SSM",46.55528015,-84.40318871,699052.5800000001,5159022.0600000005
328,,"Lakeshore Drive","P6A 5K8","Dennis",46.62490833,-84.52878087,689183.3699999992,5166449.32
1212,,"Carpin Beach Road","P6A 5K8","SSM",46.54398366,-84.44532489,695863.5,5157661.4
1415,,"Third Line West","P6A 5K8","SSM",46.54993645,-84.42135942,697679.2100000009,5158382.609999999
1850,,"Third Line West","P6A 5K8","SSM",46.54946372,-84.44284059,696034.2200000007,5158276.470000001
986,,"Allen's Side Road","P6A 5K8","SSM",46.55571734,-84.40321494,699048.9700000007,5159070.57
50,,"Lakeshore Drive","P6A 5K8","Dennis",46.63451228,-84.51710179,690043.7899999991,5167544.5600000005
20,,"Anderson Road","P6C 6B8","SSM",46.53670734,-84.41313918,698357.5600000005,5156933.34
1050,,"Allen's Side Road","P6A 5K8","SSM",46.55651647,-84.40323603,699044.4299999997,5159159.3100000005
531,,"Maki Road","P6A 5K8","SSM",46.56864295,-84.42075395,697657.6400000006,5160462.640000001
1960,,"Third Line West","P6A 5K8","SSM",46.55003388,-84.44963779,695511.1099999994,5158322.949999999
195,,"Maki Road","P6A 5K8","SSM",46.55740697,-84.41495276,698143.1199999992,5159228.75
1110,,"Base Line","P6A 5K6","SSM",46.52208145,-84.43762971,696532.5,5155246.949999999
556,,"Leigh's Bay Road","P6A 5K6","SSM",46.52469403,-84.42344242,697611.1400000006,5155572.67
8,,"Ransome Drive","P6C 1N2","SSM",46.53078043,-84.40357328,699112.7100000009,5156298.890000001
734,,"Allen's Side Road","P6A 5K8","SSM",46.54823763,-84.4030239,699090.9800000004,5158239.970000001
63,,"Foothill Road","P6C 0E5","SSM",46.56459478,-84.38627616,700314.6199999992,5160099.85
1154,,"Goulais Avenue","P6A 5K8","SSM",46.56346438,-84.38201241,700645.5500000007,5159985.09
153,,"Foothill Road","P6C 0E5","SSM",46.56431032,-84.39078047,699970.4700000007,5160056.8100000005
497,,"Maki Road","P6A 5K8","SSM",46.56679731,-84.41704577,697948.5199999996,5160266.869999999
87,,"Palomino Drive","P6A 0B3","SSM",46.5450649,-84.41158874,698445.9700000007,5157865.859999999
19,,"Ransome Drive","P6C 1N3","SSM",46.53030144,-84.4036758,699106.5999999996,5156245.41
349,,"Allen's Side Road","P6C 5P8","SSM",46.53417715,-84.40306387,699139.3499999996,5156677.59
47,,"Foothill Road","P6C 0E5","SSM",46.56453533,-84.38551437,700373.2200000007,5160095.18
1173,,"Wallace Terrace","P6C 1M8","SSM",46.52882936,-84.40493876,699015.1300000008,5156078.66
58,,"Palomino Drive","P6A 0B1","SSM",46.54487248,-84.40947892,698608.4199999999,5157849.789999999
768,,"Fourth Line West","P6A 5K8","SSM",46.56612579,-84.3898581,700035.5399999991,5160262.5600000005
6,,"Ransome Drive","P6C 1N2","SSM",46.53073282,-84.40326845,699136.2599999998,5156294.369999999
92,,"Hood Street","P6C 6E5","SSM",46.56349398,-84.39313767,699792.8200000003,5159960.130000001
155,,"Allen's Side Road","P6C 5P4","SSM",46.5272954,-84.40283007,699182.4499999993,5155913.539999999
778,,"Town Line Road","P6A 6K4","SSM",46.52875294,-84.46564337,694360.1300000008,5155918.84
59,,"Pinto Drive","P6A 0B4","SSM",46.54247525,-84.40835535,698705.0299999993,5157590.23
30,,"Rosita Street","P6C 5R1","SSM",46.53147354,-84.404795,699016.4900000002,5156372.82
618,,"Allen's Side Road","P6A 5K8","SSM",46.54554021,-84.40263008,699131.0399999991,5157941.25
62,,"Foothill Road","P6C 0E4","SSM",46.56494321,-84.38627376,700313.5199999996,5160138.57
11,,"Palomino Drive","P6A 0B1","SSM",46.54443251,-84.40450933,698991.0199999996,5157813.43
626,,"Maki Road","P6A 5K8","SSM",46.57324456,-84.41769362,697875.4100000001,5160981.609999999
476,,"Leigh's Bay Road","P6A 5K6","SSM",46.52180876,-84.42333653,697629.7300000004,5155252.35
126,,"Allen's Side Road","P6C 5P5","SSM",46.52642737,-84.40157561,699281.8300000001,5155820.26
87,,"Anderson Road","P6C 6G5","SSM",46.53915323,-84.4142715,698261.8300000001,5157202.26
214,,"Lakeshore Drive","P6A 5K8","Dennis",46.62850763,-84.52312426,689603.8200000003,5166862.85
23,,"Ransome Drive","P6C 1N3","SSM",46.53029894,-84.40387896,699091.0299999993,5156244.619999999
1167,,"Wallace Terrace","P6C 1M8","SSM",46.52882976,-84.40476596,699028.3800000008,5156079.140000001
1024,,"Third Line West","P6A 5K8","SSM",46.55154432,-84.40323056,699063.0399999991,5158606.859999999
738,,"Lakeshore Drive","P6A 5K8","Dennis",46.61151927,-84.5392793,688426.1600000001,5164936.460000001
37,,"Anderson Road","P6C 5S1","SSM",46.53744016,-84.41400022,698288.8699999992,5157012.6
3060,,"Third Line West","P6A 5K8","SSM",46.55040646,-84.45896508,694794.7699999996,5158341.27
1515,,"Maki Road","P6A 5K8","SSM",46.59002557,-84.44861319,695445.8599999994,5162769.050000001
901,,"Goulais Avenue","P6A 5K8","SSM",46.55423409,-84.38319855,700588.6799999997,5158956.48
1472,,"Carpin Beach Road","P6A 5K8","SSM",46.55190394,-84.44560126,695813.8100000005,5158540.75
796,,"Third Line West","P6A 5K8","SSM",46.55199922,-84.39133401,699973.3000000007,5158687.5
997,,"Allen's Side Road","P6A 5K8","SSM",46.55523006,-84.4044626,698955.1199999992,5159013.279999999
793,,"Allen's Side Road","P6A 5K8","SSM",46.5503793,-84.40381841,699022.2400000002,5158475.93
60,,"Maki Road","P6A 5K8","SSM",46.55270318,-84.41375663,698251.9399999995,5158709.109999999
1015,,"Third Line West","P6A 5K8","SSM",46.55077766,-84.40230585,699139.9100000001,5158525.390000001
465,,"Allen's Side Road","P6A 5K8","SSM",46.53882032,-84.4037925,699066.5,5157191.66
1034,,"Carpin Beach Road","P6A 5K8","SSM",46.5404151,-84.44478598,695917.6600000001,5157266.23
208,,"Lakeshore Drive","P6A 5K8","Dennis",46.62867134,-84.52289601,689620.7200000007,5166881.59
17,,"Broos Road","P6C 5S2","SSM",46.53681283,-84.4158178,698151.7899999991,5156938.33
456,,"Royce Avenue","P6C 5R4","SSM",46.52952725,-84.40587569,698940.7300000004,5156153.84
5,,"Palomino Drive","P6A 0B1","SSM",46.54443559,-84.40412179,699020.7200000007,5157814.75
991,,"Fourth Line West","P6A 5K8","SSM",46.56509782,-84.40079997,699199.7200000007,5160118.949999999
132,,"Palomino Drive","P6A 0B2","SSM",46.54816175,-84.41202035,698401.5899999999,5158208.869999999
117,,"Allen's Side Road","P6C 5P4","SSM",46.52600794,-84.4026951,699197.5099999998,5155770.83
68,,"Creek Road","P6A 5K8","SSM",46.55201534,-84.45649074,694978.6799999997,5158526.15
26,,"Rosita Street","P6C 5R1","SSM",46.53131584,-84.40471123,699023.4900000002,5156355.51
70,,"Foothill Road","P6C 0E4","SSM",46.56511421,-84.38677379,700274.5700000003,5160156.300000001
1068,,"Base Line","P6A 5K6","SSM",46.52157334,-84.43476995,696753.6699999999,5155197.619999999
92,,"Palomino Drive","P6A 0B2","SSM",46.54533359,-84.41047009,698530.75,5157898.529999999
1368,,"Second Line West","P6A 5K8","SSM",46.53645626,-84.41890933,697916.0399999991,5156890.949999999
60,,"Ransome Drive","P6C 1N4","SSM",46.53068067,-84.4056486,698953.9299999997,5156282.57
535,,"Allen's Side Road","P6A 5K8","SSM",46.54054144,-84.40345412,699086.1500000004,5157383.75
40,,"Ransome Drive","P6C 1N2","SSM",46.53076144,-84.4047623,699021.5999999996,5156293.779999999
72,,"Mount Pleasant Court","P6A 5K8","SSM",46.56637387,-84.42232162,697545.75,5160206.59
1243,,"Town Line Road","P6A 6K4","Prince",46.5460676,-84.46757237,694150.4399999995,5157837.949999999
638,,"Leigh's Bay Road","P6A 5K6","SSM",46.52670614,-84.42342207,697605.4000000004,5155796.289999999
105,,"Palomino Drive","P6A 0B2","SSM",46.54624155,-84.41180305,698425.25,5157996.0600000005
1599,,"Base Line","P6A 5K6","SSM",46.52019845,-84.45942299,694867.7599999998,5154983.68
4,,"Palomino Drive","P6A 0B1","SSM",46.54527315,-84.40386517,699037.3300000001,5157908.460000001
198,,"Lakeshore Drive","P6A 5K8","Dennis",46.62895089,-84.52259767,689642.5800000001,5166913.369999999
101,,"Ransome Drive","P6C 1N5","SSM",46.53023225,-84.40861108,698728.3900000006,5156225.279999999
830,,"Leigh's Bay Road","P6A 5K6","SSM",46.53347569,-84.42385067,697547.9700000007,5156547.390000001
98,,"Maki Road","P6A 5K8","SSM",46.55401094,-84.41362428,698257.3200000003,5158854.75
965,,"Fourth Line West","P6A 5K8","SSM",46.56481689,-84.3995593,699295.8300000001,5160090.869999999
24,,"Appaloosa Avenue","P6A 0B1","SSM",46.54607368,-84.40719511,698779.1199999992,5157989.01
171,,"Maki Road","P6A 5K8","SSM",46.55683937,-84.4152562,698121.9299999997,5159164.92
384,,"Lakeshore Drive","P6A 5K8","Dennis",46.6224845,-84.53140157,688991.1899999995,5166173.710000001
3,,"Oriole Street","P6C 6E5","SSM",46.56375374,-84.3903694,700004.0199999996,5159996.01
54,,"Ransome Drive","P6C 1N4","SSM",46.53067554,-84.40536339,698975.8200000003,5156282.720000001
36,,"Ransome Drive","P6C 1N2","SSM",46.53074194,-84.40456932,699036.4700000007,5156292.1
703,,"Town Line Road","P6A 6K4","Prince",46.52496332,-84.46708855,694262.8200000003,5155494.210000001
1040,,"Allen's Side Road","P6A 5K8","SSM",46.55631628,-84.40325067,699044.0399999991,5159137.029999999
95,,"Anderson Road","P6C 6G5","SSM",46.540029,-84.4148476,698214.4700000007,5157298.119999999
1109,,"Allen's Side Road","P6A 5K8","SSM",46.56145474,-84.40739516,698707.5999999996,5159697.52
